# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 9.6389730529 10.4628561110 11.2867391691 8.8150899948 7.9912069367
1.0000000000 9.6912921106 10.5121811122 11.3330701138 8.8704031090 8.0495141073
2.0000000000 9.8471172452 10.6591831695 11.4712490938 9.0350513209 8.2229853966
3.0000000000 10.1030927548 10.9009800862 11.6988674176 9.3052054234 8.5073180921
4.0000000000 10.4537613990 11.2328913570 12.0120213149 9.6746314411 8.8955014831
5.0000000000 10.8917553077 11.6486066176 12.4054579275 10.1349039978 9.3780526879
6.0000000000 11.4080465457 12.1404098922 12.8727732387 10.6756831992 9.9433198527
7.0000000000 11.9922416346 12.6994316481 13.4066216616 11.2850516211 10.5778616076
8.0000000000 12.6328987740 13.3159112776 13.9989237812 11.9498862704 11.2668737669
9.0000000000 13.3178531010 13.9794315931 14.6410100852 12.6562746088 11.9946961167
10.0000000000 14.0345364183 14.6791152898 15.3236941613 13.3899575467 12.7453786752
11.0000000000 14.7702737981 15.4037562839 16.0372387697 14.1367913123 13.5033088264
12.0000000000 15.5125601442 16.1419170730 16.7712740017 14.8832032155 14.2538462868
13.0000000000 16.2493012981 16.8820230057 17.5147447132 15.6165795905 14.9838578829
14.0000000000 16.9690280048 17.6125176611 18.2560073173 16.3255383485 15.6820486923
15.0000000000 17.6610851442 18.3221078723 18.9831306005 17.0000624161 16.3390396880
16.0000000000 18.3157924760 19.0000723406 19.6843522052 17.6315126114 16.9472327467
17.0000000000 18.9245832212 19.6365889487 20.3485946763 18.2125774936 17.5005717660
18.0000000000 19.4801151923 20.2230123572 20.9659095221 18.7372180274 17.9943208625
19.0000000000 19.9763516106 20.7520764669 21.5278013232 19.2006267543 18.4249018979
20.0000000000 20.4086033894 21.2180055121 22.0274076349 19.5992012667 18.7897991440
21.0000000000 20.7735246635 21.6165403544 22.4595560453 19.9305089725 19.0874932816
22.0000000000 21.0690609135 21.9448825531 22.8207041928 20.1932392738 19.3174176342
23.0000000000 21.2943439904 22.2015813221 23.1088186537 20.3871066587 19.4798693270
24.0000000000 21.4495441346 22.3863603587 23.3231765827 20.5127279106 19.5759116865
25.0000000000 21.5356901923 22.4999185735 23.4641469547 20.5714618111 19.6072334299
26.0000000000 21.5544745192 22.5437129025 23.5329512858 20.5652361360 19.5759977527
27.0000000000 21.5080645192 22.5197501729 23.5314358265 20.4963788656 19.4846932120
28.0000000000 21.3989377885 22.4304080432 23.4618782979 20.3674675338 19.3359972790
29.0000000000 21.2297564904 22.2782938450 23.3268311996 20.1812191358 19.1326817812
30.0000000000 21.0032852404 22.0661527590 23.1290202777 19.9404177217 18.8775502031
31.0000000000 20.7223557692 21.7968248931 22.8712940170 19.6478866454 18.5734175215
32.0000000000 20.3898672596 21.4732354765 22.5566036934 19.3064990427 18.2231308258
33.0000000000 20.0088167788 21.0984225779 22.1880283769 18.9192109798 17.8296051808
34.0000000000 19.5823399279 20.6755720790 21.7688042302 18.4891077767 17.3958756256
35.0000000000 19.1137569471 20.2080615412 21.3023661352 18.0194523531 16.9251477590
36.0000000000 18.6066068029 19.6994938379 20.7923808728 17.5137197679 16.4208327329
37.0000000000 18.0646685577 19.1537187209 20.2427688842 16.9756183944 15.8865682312
38.0000000000 17.4919560096 18.5748282310 19.6577004523 16.4090837883 15.3262115669
39.0000000000 16.8926986779 17.9671410528 19.0415834277 15.8182563030 14.7438139281
40.0000000000 16.2712981010 17.3351583479 18.3990185949 15.2074378540 14.1435776070
41.0000000000 15.6322689904 16.6835102072 17.7347514239 14.5810277736 13.5297865568
42.0000000000 14.9801742067 16.0168866643 17.0535991218 13.9434617492 12.9067492917
43.0000000000 14.3195558894 15.3399717792 16.3603876689 13.2991399997 12.2787241099
44.0000000000 13.6548706490 14.6573750140 15.6598793789 12.6523662841 11.6498619192
45.0000000000 12.9904326683 13.9735715320 14.9567103958 12.0072938045 11.0241549408
46.0000000000 12.3303652043 13.2928527253 14.2553402463 11.3678776834 10.4053901624
47.0000000000 11.6785606875 12.6192787398 13.5599967921 10.7378426352 9.7971245829
48.0000000000 11.0386495625 11.9566486679 12.8746477733 10.1206504571 9.2026513517
49.0000000000 10.4139758005 11.3084717393 12.2029676782 9.5194798616 8.6249839227
50.0000000000 9.8075759471 10.6779452404 11.5483145337 8.9372066538 8.0668373606
51.0000000000 9.2221645096 10.0679410549 10.9137176001 8.3763879644 7.5306114191
52.0000000000 8.6601235649 9.4809955561 10.3018675472 7.8392515738 7.0183795826
53.0000000000 8.1234967596 8.9193060189 9.7151152781 7.3276875004 6.5318782411
54.0000000000 7.6139863966 8.3847291526 9.1554719086 6.8432436407 6.0725008847
55.0000000000 7.1329533846 7.8787827447 8.6246121048 6.3871240245 5.6412946644
56.0000000000 6.6814184111 7.4026466948 8.1238749786 5.9601901273 5.2389618436
57.0000000000 6.2600649976 6.9571652214 7.6542654453 5.5629647738 4.8658645499
58.0000000000 5.8692437957 6.5428483716 7.2164529475 5.1956392198 4.5220346439
59.0000000000 5.5089805240 6.1598759848 6.8107714456 4.8580850632 4.2071896025
60.0000000000 5.1789880721 5.8081050689 6.4372220658 4.5498710753 3.9207540785
61.0000000000 4.8786843918 5.4870823761 6.0954803604 4.2702864075 3.6618884232
62.0000000000 4.6072165745 5.1960643139 5.7849120533 4.0183688351 3.4295210957
63.0000000000 4.3634908077 4.9340427567 5.5045947057 3.7929388587 3.2223869097
64.0000000000 4.1462070938 4.6997782496 5.2533494054 3.5926359379 3.0390647821
65.0000000000 3.9538964591 4.4918365701 5.0297766811 3.4159563481 2.8780162371
66.0000000000 3.7849597788 4.3086291097 4.8322984405 3.2612904480 2.7376211172
67.0000000000 3.6377051010 4.1484527302 4.6592003595 3.1269574717 2.6162098424
68.0000000000 3.5103830937 4.0095293407 4.5086755876 3.0112368468 2.5120905999
69.0000000000 3.4012184471 3.8900413105 4.3788641739 2.9123955837 2.4235727203
