# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 113.8428084135 118.5255269258 123.2082454381 109.1600899011 104.4773713888
1.0000000000 113.2219423798 117.8855643545 122.5491863292 108.5583204051 103.8946984304
2.0000000000 111.3787752163 115.9856060440 120.5924368716 106.7719443887 102.1651135611
3.0000000000 108.3718130048 112.8856559394 117.3994988740 103.8579700702 99.3441271356
4.0000000000 104.2987994231 108.6859539211 113.0731084191 99.9116449251 95.5244904271
5.0000000000 99.2960435337 103.5262554148 107.7564672960 95.0658316525 90.8356197713
6.0000000000 93.5355913221 97.5829779343 101.6303645465 89.4882047099 85.4408180978
7.0000000000 87.2190445433 91.0628749516 94.9067053599 83.3752141350 79.5313837267
8.0000000000 80.5672816346 84.1925934707 87.8179053068 76.9419697985 73.3166579624
9.0000000000 73.8060888942 77.2040125323 80.6019361703 70.4081652562 67.0102416182
10.0000000000 67.1488112500 70.3165223272 73.4842334044 63.9811001728 60.8133890956
11.0000000000 60.7781815625 63.7183875178 66.6585934731 57.8379756072 54.8977696519
12.0000000000 54.8302917067 57.5502240308 60.2701563548 52.1103593827 49.3904270587
13.0000000000 49.3839259856 51.8938931385 54.4038602915 46.8739588326 44.3639916796
14.0000000000 44.4579523317 46.7696454741 49.0813386165 42.1462591893 39.8345660469
15.0000000000 40.0181202404 42.1429728434 44.2678254464 37.8932676374 35.7684150344
16.0000000000 35.9926198317 37.9405774263 39.8885350208 34.0446622372 32.0967046427
17.0000000000 32.2935442548 34.0725305730 35.8515168913 30.5145579366 28.7355716184
18.0000000000 28.8396956010 30.4558841920 32.0720727830 27.2235070100 25.6073184189
19.0000000000 25.5754894231 27.0342699264 28.4930504297 24.1167089198 22.6579284165
20.0000000000 22.4815985337 23.7889496545 25.0963007753 21.1742474128 19.8668962920
21.0000000000 19.5751842788 20.7390841569 21.9029840350 18.4112844008 17.2473845227
22.0000000000 16.9005413221 17.9320505269 18.9635597317 15.8690321173 14.8375229125
23.0000000000 14.5136637500 15.4273859081 16.3411080662 13.5999415919 12.6862194338
24.0000000000 12.4656153606 13.2793180864 14.0930208121 11.6519126348 10.8382099090
25.0000000000 10.7892641611 11.5225838843 12.2559036075 10.0559444379 9.3226247147
26.0000000000 9.4920453413 10.1644556810 10.8368660207 8.8196350016 8.1472246620
27.0000000000 8.5549649880 9.1835498340 9.8121346800 7.9263801420 7.2977952959
28.0000000000 7.9361275697 8.5339191985 9.1317108273 7.3383359409 6.7405443121
29.0000000000 7.5764195601 8.1518162959 8.7272130316 7.0010228243 6.4256260886
30.0000000000 7.4056551707 7.9628765124 8.5200978540 6.8484338290 6.2912124873
31.0000000000 7.3487573822 7.8889010656 8.4290447490 6.8086136988 6.2684700154
32.0000000000 7.3324497332 7.8546905861 8.3769314390 6.8102088802 6.2879680273
33.0000000000 7.2928123990 7.7954542414 8.2980960837 6.7901705567 6.2875287144
34.0000000000 7.1830002764 7.6642608107 8.1455213450 6.7017397422 6.2204792079
35.0000000000 6.9791926442 7.4377058086 7.8962189730 6.5206794799 6.0621663155
36.0000000000 6.6824095817 7.1174848131 7.5525600445 6.2473343503 5.8122591189
37.0000000000 6.3147354207 6.7264330403 7.1381306599 5.9030378010 5.4913401814
38.0000000000 5.9104730168 6.2995438756 6.6886147344 5.5214021580 5.1323312992
39.0000000000 5.5048638365 5.8725771691 6.2402905017 5.1371505039 4.7694371713
40.0000000000 5.1241247163 5.4719936649 5.8198626134 4.7762557678 4.4283868193
41.0000000000 4.7800334399 5.1094745000 5.4389155602 4.4505923798 4.1211513196
42.0000000000 4.4703583966 4.7823747192 5.0943910418 4.1583420740 3.8463257514
43.0000000000 4.1840188053 4.4790296298 4.7740404544 3.8890079807 3.5939971562
44.0000000000 3.9081504856 4.1860534738 4.4639564621 3.6302474973 3.3523445090
45.0000000000 3.6339740769 3.8944330181 4.1548919592 3.3735151358 3.1130561946
46.0000000000 3.3594911178 3.6023420702 3.8451930227 3.1166401653 2.8737892129
47.0000000000 3.0888299327 3.3144495452 3.5400691577 2.8632103202 2.6375907077
48.0000000000 2.8295610673 3.0390616595 3.2485622517 2.6200604751 2.4105598829
49.0000000000 2.5898187163 2.7850129128 2.9802071092 2.3946245199 2.1994303235
50.0000000000 2.3765411346 2.5597237707 2.7429064068 2.1933584985 2.0101758624
51.0000000000 2.1950720024 2.3687441197 2.5424162370 2.0213998851 1.8477277678
52.0000000000 2.0494547308 2.2161092526 2.3827637744 1.8828002090 1.7161456872
53.0000000000 1.9424885337 2.1044921064 2.2664956791 1.7804849609 1.6184813882
54.0000000000 1.8750410216 2.0345576899 2.1940743581 1.7155243534 1.5560076852
55.0000000000 1.8448557428 2.0037455936 2.1626354445 1.6859658919 1.5270760411
56.0000000000 1.8456420481 2.0053324984 2.1650229487 1.6859515978 1.5262611474
57.0000000000 1.8672557837 2.0286468231 2.1900378626 1.7058647442 1.5444737047
58.0000000000 1.8972780361 2.0607425023 2.2242069685 1.7338135699 1.5703491036
59.0000000000 1.9235860817 2.0890727195 2.2545593572 1.7580994440 1.5926128063
60.0000000000 1.9369967692 2.1041926865 2.2713886038 1.7698008520 1.6026049347
61.0000000000 1.9330066683 2.1014997351 2.2699928020 1.7645136014 1.5960205346
62.0000000000 1.9120646971 2.0814646265 2.2508645559 1.7426647677 1.5732648383
63.0000000000 1.8784414159 2.0484467094 2.2184520029 1.7084361224 1.5384308289
64.0000000000 1.8382914231 2.0087138419 2.1791362607 1.6678690043 1.4974465855
65.0000000000 1.7977019567 1.9684671853 2.1392324140 1.6269367281 1.4561714995
66.0000000000 1.7613486250 1.9324873410 2.1036260570 1.5902099090 1.4190711930
67.0000000000 1.7319826418 1.9036160978 2.0752495537 1.5603491859 1.3887157299
68.0000000000 1.7105795216 1.8828971574 2.0552147932 1.5382618859 1.3659442501
69.0000000000 1.6967694832 1.8699951316 2.0432207800 1.5235438348 1.3503181864
70.0000000000 1.6892028918 1.8635499545 2.0378970172 1.5148558291 1.3405087665
71.0000000000 1.6857023774 1.8613214868 2.0369405961 1.5100832680 1.3344641587
72.0000000000 1.6832810745 1.8602062303 2.0371313861 1.5063559187 1.3294307630
73.0000000000 1.6782290505 1.8563299539 2.0344308573 1.5001281471 1.3220272437
74.0000000000 1.6664419159 1.8453895880 2.0243372601 1.4874942437 1.3085465716
75.0000000000 1.6440241514 1.8232780135 2.0025318756 1.4647702894 1.2855164273
