# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 52.7541268990 54.8957655199 57.0374041408 50.6124882782 48.4708496573
1.0000000000 52.7365463221 54.8756045724 57.0146628227 50.5974880718 48.4584298215
2.0000000000 52.6837199519 54.8151475948 56.9465752378 50.5522923090 48.4208646661
3.0000000000 52.5953734135 54.7144463179 56.8335192223 50.4763005090 48.3572276046
4.0000000000 52.4709910096 54.5735015092 56.6760120088 50.3684805100 48.2659700104
5.0000000000 52.3097322596 54.3921436263 56.4745549930 50.2273208929 48.1449095262
6.0000000000 52.1103243510 54.1698774091 56.2294304673 50.0507712928 47.9912182346
7.0000000000 51.8709485096 53.9057137836 55.9404790575 49.8361832357 47.8014179617
8.0000000000 51.5891311779 53.5980009960 55.6068708141 49.5802613598 47.5713915416
9.0000000000 51.2616707692 53.2442974996 55.2269242299 49.2790440389 47.2964173086
10.0000000000 50.8846205288 52.8413034742 54.7979864196 48.9279375835 46.9712546381
11.0000000000 50.4533450000 52.3848800334 54.3164150667 48.5218099666 46.5902749333
12.0000000000 49.9626687260 51.8701730911 53.7776774563 48.0551643608 46.1476599956
13.0000000000 49.4071091106 51.2918369965 53.1765648825 47.5223812246 45.6376533387
14.0000000000 48.7811843750 50.6443517044 52.5075190337 46.9180170456 45.0548497163
15.0000000000 48.0797599038 49.9223879310 51.7650159582 46.2371318767 44.3945038495
16.0000000000 47.2983975481 49.1211883126 50.9439790772 45.4756067835 43.6528160189
17.0000000000 46.4336629327 48.2369101254 50.0401573181 44.6304157400 42.8271685473
18.0000000000 45.4833552163 47.2668931260 49.0504310357 43.6998173067 41.9162793970
19.0000000000 44.4466359856 46.2098224698 47.9730089541 42.6834495013 40.9202630171
20.0000000000 43.3240481971 45.0657755474 46.8075028977 41.5823208468 39.8405934965
21.0000000000 42.1174530288 43.8361813759 45.5549097230 40.3987246818 38.6799963347
22.0000000000 40.8299031731 42.5237078861 44.2175125991 39.1360984601 37.4422937470
