# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 63.7214862981 66.3604772765 68.9994682550 61.0824953196 58.4435043412
1.0000000000 63.5770180769 66.2086709707 68.8403238645 60.9453651831 58.3137122894
2.0000000000 63.1408429327 65.7506125144 68.3603820960 60.5310733510 57.9213037694
3.0000000000 62.4052885337 64.9790153514 67.5527421691 59.8315617159 57.2578348982
4.0000000000 61.3596023317 63.8837519135 66.4079014952 58.8354527500 56.3113031683
5.0000000000 59.9926877163 62.4545654507 64.9164431851 57.5308099820 55.0689322476
6.0000000000 58.2963571394 60.6842919632 63.0722267870 55.9084223157 53.5204874919
7.0000000000 56.2686276202 58.5721207446 60.8756138690 53.9651344958 51.6616413713
8.0000000000 53.9165897115 56.1264238494 58.3362579873 51.7067555737 49.4969214358
9.0000000000 51.2584466106 53.3667614338 55.4750762571 49.1501317873 47.0418169640
10.0000000000 48.3244413462 50.3247737700 52.3251061938 46.3241089223 44.3237764985
11.0000000000 45.1565542548 47.0438482277 48.9311422006 43.2692602819 41.3819663090
12.0000000000 41.8070209135 43.5776113416 45.3482017697 40.0364304854 38.2658400573
13.0000000000 38.3358644952 39.9874398326 41.6390151701 36.6842891578 35.0327138203
14.0000000000 34.8077631490 36.3393097243 37.8708562996 33.2762165738 31.7446699985
15.0000000000 31.2886192548 32.7003560088 34.1120927629 29.8768825008 28.4651457467
16.0000000000 27.8422009375 29.1355056403 30.4288103431 26.5488962347 25.2555915319
17.0000000000 24.5271696875 25.7045038197 26.8818379519 23.3498355553 22.1725014231
18.0000000000 21.3947178365 22.4595550601 23.5243922837 20.3298806130 19.2650433894
19.0000000000 18.4869243510 19.4436838672 20.4004433834 17.5301648348 16.5734053185
20.0000000000 15.8358331971 16.6898146093 17.5437960216 14.9818517849 14.1278703726
21.0000000000 13.4631784615 14.2204994463 14.9778204312 12.7058574767 11.9485364919
22.0000000000 11.3806335553 12.0481570245 12.7156804937 10.7131100861 10.0455866169
23.0000000000 9.5904482428 10.1756907155 10.7609331883 9.0052057700 8.4199632973
24.0000000000 8.0863565457 8.5973652627 9.1083739797 7.5753478287 7.0643391117
25.0000000000 6.8546646683 7.2998534373 7.7450422064 6.4094758992 5.9642871301
26.0000000000 5.8754683990 6.2634049011 6.6513414031 5.4875318970 5.0995953950
27.0000000000 5.1239621346 5.4631099124 5.8022576902 4.7848143568 4.4456665790
28.0000000000 4.5718127356 4.8702455953 5.1686784550 4.2733798759 3.9749470162
29.0000000000 4.1885638437 4.4536908836 4.7188179235 3.9234368039 3.6583097640
30.0000000000 3.9430204255 4.1813754993 4.4197305731 3.7046653517 3.4663102779
31.0000000000 3.8045531779 4.0217001090 4.2388470400 3.5874062468 3.3702593157
32.0000000000 3.7442539784 3.9448285286 4.1454030789 3.5436794281 3.3431048778
33.0000000000 3.7358824543 3.9237446019 4.1116067495 3.5480203068 3.3601581592
34.0000000000 3.7565577740 3.9349891137 4.1134204533 3.5781264344 3.3996950948
35.0000000000 3.7871756755 3.9590476337 4.1309195920 3.6153037172 3.4434317590
36.0000000000 3.8125576779 3.9804184413 4.1482792047 3.6446969145 3.4768361511
37.0000000000 3.8213633630 3.9874316269 4.1534998909 3.6552950990 3.4892268351
38.0000000000 3.8058169231 3.9719109152 4.1380049073 3.6397229309 3.4736289388
39.0000000000 3.7613077740 3.9287575559 4.0962073378 3.5938579922 3.4264082103
40.0000000000 3.6859245096 3.8555118633 4.0250992170 3.5163371559 3.3467498023
41.0000000000 3.5799739399 3.7519222650 3.9238705902 3.4080256148 3.2360772896
42.0000000000 3.4455206731 3.6195358942 3.7935511153 3.2715054520 3.0974902308
43.0000000000 3.2859672644 3.4613176645 3.6366680646 3.1106168643 2.9352664642
44.0000000000 3.1056803005 3.2812994923 3.4569186841 2.9300611087 2.7544419169
45.0000000000 2.9096591442 3.0842587564 3.2588583686 2.7350595320 2.5604599198
46.0000000000 2.7032387596 2.8754194604 3.0476001611 2.5310580589 2.3588773581
47.0000000000 2.4918213534 2.6601750091 2.8285286648 2.3234676976 2.1551140419
48.0000000000 2.2806346322 2.4438319762 2.6070293202 2.1174372882 1.9542399442
49.0000000000 2.0745184135 2.2313790126 2.3882396118 1.9176578143 1.7607972151
50.0000000000 1.8777467236 2.0272896604 2.1768325973 1.7282037867 1.5786608498
51.0000000000 1.6938905385 1.8353661223 1.9768417062 1.5524149546 1.4109393707
52.0000000000 1.5257276058 1.6586312019 1.7915347981 1.3928240096 1.2599204135
53.0000000000 1.3752013678 1.4992719131 1.6233424585 1.2511308225 1.1270602771
54.0000000000 1.2434281423 1.3586341652 1.4738401881 1.1282221194 1.0130160965
55.0000000000 1.1307479750 1.2372643757 1.3437807764 1.0242315743 0.9177151736
56.0000000000 1.0368109971 1.1349896931 1.2331683891 0.9386323011 0.8404536051
57.0000000000 0.9606892315 1.0510260325 1.1413628334 0.8703524305 0.7800156295
58.0000000000 0.9010021221 0.9841027432 1.0672033643 0.8179015010 0.7348008799
59.0000000000 0.8560444000 0.9325913064 1.0091382128 0.7794974936 0.7029505872
60.0000000000 0.8239060171 0.8946280068 0.9653499965 0.7531840273 0.6824620376
61.0000000000 0.8025770389 0.8682229636 0.9338688882 0.7369311143 0.6712851897
62.0000000000 0.7900333029 0.8513512140 0.9126691250 0.7287153918 0.6673974807
63.0000000000 0.7843019031 0.8420238327 0.8997457623 0.7265799735 0.6688580439
