# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 23.6674017788 24.8628676395 26.0583335002 22.4719359182 21.2764700575
1.0000000000 23.6788158413 24.8724241642 26.0660324870 22.4852075185 21.2915991957
2.0000000000 23.7125818990 24.9006983296 26.0888147602 22.5244654685 21.3363490379
3.0000000000 23.7672793510 24.9465075296 26.1257357082 22.5880511723 21.4088229937
4.0000000000 23.8405704087 25.0078940099 26.1752176112 22.6732468074 21.5059232061
5.0000000000 23.9292421394 25.0821451292 26.2350481190 22.7763391496 21.6234361598
6.0000000000 24.0292595673 25.1658173564 26.3023751455 22.8927017782 21.7561439892
7.0000000000 24.1358326202 25.2547658629 26.3736991056 23.0168993775 21.8979661347
8.0000000000 24.2434923798 25.3441807598 26.4448691398 23.1428039998 22.0421156198
9.0000000000 24.3461814663 25.4286390016 26.5110965368 23.2637239311 22.1812663959
10.0000000000 24.4373621154 25.5021706569 26.5669791983 23.3725535739 22.3077450324
11.0000000000 24.5101466587 25.5583558090 26.6065649593 23.4619375083 22.4137283580
12.0000000000 24.5574552163 25.5904547087 26.6234542010 23.5244557240 22.4914562317
13.0000000000 24.5721966106 25.5915732675 26.6109499245 23.5528199536 22.5334432967
14.0000000000 24.5474719231 25.5548619113 26.5622518995 23.5400819348 22.5326919466
15.0000000000 24.4767939183 25.4737439874 26.4706940565 23.4798438491 22.4828937800
16.0000000000 24.3542961298 25.3421420029 26.3299878759 23.3664502567 22.3786043837
17.0000000000 24.1749304087 25.1547039051 26.1344774016 23.1951569122 22.2153834157
18.0000000000 23.9346268990 24.9069897563 25.8793526136 22.9622640418 21.9899011845
19.0000000000 23.6304082212 24.5956211638 25.5608341064 22.6651952785 21.6999823359
20.0000000000 23.2604523077 24.2183663335 25.1762803592 22.3025382819 21.3446242561
21.0000000000 22.8241041587 23.7741780131 24.7242518675 21.8740303042 20.9239564498
22.0000000000 22.3218449519 23.2631769360 24.2045089201 21.3805129678 20.4391809837
23.0000000000 21.7552356250 22.6866066670 23.6179777089 20.8238645830 19.8924935411
24.0000000000 21.1268425000 22.0467650444 22.9666875889 20.2069199556 19.2869974111
25.0000000000 20.4401604087 21.3469289932 22.2536975776 19.5333918242 18.6266232397
26.0000000000 19.6995434615 20.5912853001 21.4830271387 18.8078016230 17.9160597844
