# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 29.9346585337 31.2829376890 32.6312168443 28.5863793783 27.2381002230
1.0000000000 29.9170185337 31.2632950733 32.6095716129 28.5707419940 27.2244654544
2.0000000000 29.8642576202 31.2046038200 32.5449500198 28.5239114204 27.1835652206
3.0000000000 29.7767634135 31.1074757155 32.4381880176 28.4460511114 27.1153388093
4.0000000000 29.6548915865 30.9726223230 32.2903530595 28.3371608501 27.0194301136
5.0000000000 29.4985882933 30.8004537874 32.1023192815 28.1967227992 26.8948573051
6.0000000000 29.3069677163 30.5906173212 31.8742669260 28.0233181115 26.7396685067
7.0000000000 29.0779270673 30.3415766235 31.6052261796 27.8142775112 26.5506279550
8.0000000000 28.8078784375 30.0503011888 31.2927239400 27.5654556862 26.3230329350
9.0000000000 28.4916575000 29.7121313715 30.9326052431 27.2711836285 26.0507097569
10.0000000000 28.1226515144 29.3208713250 30.5190911356 26.9244317038 25.7262118932
11.0000000000 27.6931405288 28.8690991560 30.0450577831 26.5171819017 25.3412232745
12.0000000000 27.1948371154 28.3486887930 29.5025404705 26.0409854378 24.8871337602
13.0000000000 26.6195659375 27.7514815454 28.8833971533 25.4876503296 24.3557347217
14.0000000000 25.9600160096 27.0700474003 28.1800787911 24.8499846189 23.7399532282
15.0000000000 25.2104896875 26.2984502896 27.3864108916 24.1225290854 23.0345684834
16.0000000000 24.3675716827 25.4329452967 26.4983189107 23.3021980687 22.2368244547
17.0000000000 23.4306620433 24.4725453142 25.5144285851 22.3887787723 21.3468955014
18.0000000000 22.4023177885 23.4193994077 24.4364810270 21.3852361692 20.3681545499
19.0000000000 21.2883922356 22.2789660405 23.2695398455 20.2978184306 19.3072446257
20.0000000000 20.0979568029 21.0599652084 22.0219736139 19.1359483974 18.1739399918
21.0000000000 18.8430317788 19.7741377368 20.7052436948 17.9119258209 16.9808198629
22.0000000000 17.5381451923 18.4358196027 19.3334940130 16.6404707820 15.7427963716
23.0000000000 16.1997687981 17.0613933057 17.9230178134 15.3381442904 14.4765197828
