# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 91.7250974279 95.2275599469 98.7300224659 88.2226349089 84.7201723898
1.0000000000 91.6220393990 95.1186678663 98.6152963336 88.1254109318 84.6287824645
2.0000000000 91.3120844952 94.7913473266 98.2706101580 87.8328216638 84.3535588324
3.0000000000 90.7929218269 94.2436896285 97.6944574301 87.3421540253 83.8913862238
4.0000000000 90.0608033894 93.4725891175 96.8843748456 86.6490176613 83.2372319332
5.0000000000 89.1107409135 92.4739063958 95.8370718781 85.7475754311 82.3844099488
6.0000000000 87.9368262260 91.2427447392 94.5486632525 84.6309077127 81.3249891994
7.0000000000 86.5327193990 89.7738836490 93.0150478989 83.2915551491 80.0503908992
8.0000000000 84.8923187019 88.0623914229 91.2324641438 81.7222459810 78.5521732600
9.0000000000 83.0105950000 86.1044088640 89.1982227280 79.9167811360 76.8229672720
10.0000000000 80.8845531010 83.8980547921 86.9115564833 77.8710514098 74.8575497186
11.0000000000 78.5142387260 81.4443927884 84.3745468508 75.5840846635 72.6539306011
12.0000000000 75.9036903365 78.7483454588 81.5930005810 73.0590352143 70.2143800921
13.0000000000 73.0617252885 75.8194566401 78.5771879918 70.3039939368 67.5462625851
14.0000000000 70.0024600000 72.6723987643 75.3423375286 67.3325212357 64.6625824714
15.0000000000 66.7454890625 69.3271501426 71.9088112227 64.1638279824 61.5821669023
16.0000000000 63.3156925000 65.8088122359 68.3019319717 60.8225727641 58.3294530283
17.0000000000 59.7426855048 62.1470772924 64.5514690799 57.3382937173 54.9339019297
18.0000000000 56.0599660817 58.3754005276 60.6908349734 53.7445316359 51.4290971901
19.0000000000 52.3038665625 54.5299852741 56.7561039857 50.0777478509 47.8516291393
20.0000000000 48.5123962019 50.6486587559 52.7849213100 46.3761336479 44.2398710939
21.0000000000 44.7240938221 46.7697606545 48.8154274868 42.6784269898 40.6327601574
22.0000000000 40.9769585577 42.9311100961 44.8852616344 39.0228070193 37.0686554810
23.0000000000 37.3075146875 39.1691057613 41.0306968352 35.4459236137 33.5843325398
24.0000000000 33.7500174279 35.5179580836 37.2858987394 31.9820767721 30.2141361164
25.0000000000 30.3357936058 32.0090541129 33.6823146200 28.6625330987 26.9892725915
26.0000000000 27.0926918750 28.6704221023 30.2481523295 25.5149616477 23.9372314205
27.0000000000 24.0446170192 25.5262667886 27.0079165579 22.5629672499 21.0813174806
28.0000000000 21.2111340385 22.5965697854 23.9820055322 19.8256982916 18.4402625447
29.0000000000 18.6071528606 19.8967572147 21.1863615689 17.3175485064 16.0279441523
30.0000000000 16.2427067788 17.4374527581 18.6321987373 15.0479607996 13.8532148204
31.0000000000 14.1228532692 15.2243531370 16.3258530047 13.0213534015 11.9198535338
32.0000000000 12.2477276851 13.2582476223 14.2687675594 11.2372077479 10.2266878108
33.0000000000 10.6127623726 11.5352097534 12.4576571341 9.6903149918 8.7678676111
34.0000000000 9.2090737788 10.0469580044 10.8848422300 8.3711895533 7.5333053277
35.0000000000 8.0240010986 8.7813730710 9.5387450434 7.2666291261 6.5092571537
36.0000000000 7.0417634399 7.7231437365 8.4045240332 6.3603831433 5.6790028466
37.0000000000 6.2441903798 6.8544897569 7.4647891340 5.6338910027 5.0235916256
38.0000000000 5.6114784663 6.1559205283 6.7003625903 5.0670364044 4.5225943424
39.0000000000 5.1229255312 5.6069768389 6.0910281465 4.6388742236 4.1548229160
40.0000000000 4.7576041202 5.1869171779 5.6162302356 4.3282910625 3.8989780048
41.0000000000 4.4949461875 4.8753178087 5.2556894299 4.1145745663 3.7342029451
42.0000000000 4.3152251202 4.6525692307 4.9899133412 3.9778810097 3.6405368992
43.0000000000 4.1999333606 4.5002605762 4.8005877918 3.8996061450 3.5992789294
44.0000000000 4.1320632260 4.4014501542 4.6708370825 3.8626762977 3.5932893694
45.0000000000 4.0963049135 4.3408269603 4.5853490071 3.8517828667 3.6072608199
46.0000000000 4.0791763389 4.3047746190 4.5303728991 3.8535780589 3.6279797788
47.0000000000 4.0690978125 4.2813687833 4.4936397541 3.8568268417 3.6445558709
48.0000000000 4.0564216875 4.2603577519 4.4642938163 3.8524856231 3.6485495587
49.0000000000 4.0334237236 4.2331746665 4.4329256095 3.8336727806 3.6339218376
50.0000000000 3.9942592668 4.1929876167 4.3917159666 3.7955309169 3.5968025670
51.0000000000 3.9348862933 4.1347481913 4.3346100894 3.7350243952 3.5351624971
52.0000000000 3.8529560986 4.0551870155 4.2574179325 3.6507251816 3.4484942646
53.0000000000 3.7476732188 3.9527320293 4.1577908399 3.5426144082 3.3375555976
54.0000000000 3.6196260625 3.8273559688 4.0350858751 3.4118961562 3.2041662499
55.0000000000 3.4705915361 3.6803722394 3.8901529427 3.2608108328 3.0510301294
56.0000000000 3.3033191923 3.5142012813 3.7250833703 3.0924371033 2.8815550143
57.0000000000 3.1213017524 3.3321215304 3.5429413084 2.9104819744 2.6996621964
58.0000000000 2.9285411010 3.1380188364 3.3474965719 2.7190633655 2.5095856300
59.0000000000 2.7293201490 2.9361442624 3.1429683759 2.5224960356 2.3156719222
60.0000000000 2.5279906466 2.7308907548 2.9337908630 2.3250905385 2.1221904303
61.0000000000 2.3287862620 2.5265965893 2.7244069167 2.1309759347 1.9331656074
62.0000000000 2.1356670120 2.3273803741 2.5190937362 1.9439536499 1.7522402878
63.0000000000 1.9521988077 2.1370121019 2.3218253962 1.7673855134 1.5825722192
64.0000000000 1.7814679784 1.9588181440 2.1361683096 1.6041178128 1.4267676471
