# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 56.9610846394 59.1719711322 61.3828576250 54.7501981466 52.5393116538
1.0000000000 56.6494740865 58.8511884305 61.0529027744 54.4477597426 52.2460453987
2.0000000000 55.7242727404 57.8987154800 60.0731582196 53.5498300008 51.3753872612
3.0000000000 54.2144605048 56.3442686500 58.4740767952 52.0846523596 49.9548442145
4.0000000000 52.1684657452 54.2374995489 56.3065333526 50.0994319415 48.0303981378
5.0000000000 49.6538361538 51.6476549294 53.6414737050 47.6600173783 45.6661986027
6.0000000000 46.7558633413 48.6621748072 50.5684862731 44.8495518755 42.9432404096
7.0000000000 43.5745730048 45.3836274634 47.1926819220 41.7655185462 39.9564640876
8.0000000000 40.2197018990 41.9245953031 43.6294887072 38.5148084950 36.8099150909
9.0000000000 36.8036697837 38.4005079774 39.9973461712 35.2068315899 33.6099933961
10.0000000000 33.4330850962 34.9209524239 36.4088197516 31.9452177684 30.4573504407
11.0000000000 30.1998304567 31.5805221442 32.9612138316 28.8191387693 27.4384470818
12.0000000000 27.1731698077 28.4506609430 29.7281520784 25.8956786724 24.6181875370
13.0000000000 24.3944521875 25.5741382836 26.7538243797 23.2147660914 22.0350799953
14.0000000000 21.8757256731 22.9635324262 24.0513391792 20.7879189200 19.7001121669
15.0000000000 19.6029201683 20.6044463036 21.6059724388 18.6013940330 17.5998678977
16.0000000000 17.5432933173 18.4631808291 19.3830683409 16.6234058055 15.7035182937
17.0000000000 15.6557648798 16.4974409626 17.3391170453 14.8140887970 13.9724127143
18.0000000000 13.9019153606 14.6677606076 15.4336058547 13.1360701135 12.3702248665
19.0000000000 12.2551241346 12.9469946240 13.6388651134 11.5632536452 10.8713831558
20.0000000000 10.7057255024 11.3256732280 11.9456209536 10.0857777768 9.4658300512
21.0000000000 9.2611496154 9.8121498551 10.3631500949 8.7101493756 8.1591491359
22.0000000000 7.9414605192 8.4279708694 8.9144812196 7.4549501690 6.9684398188
23.0000000000 6.7719890889 7.2002090307 7.6284289724 6.3437691472 5.9155492055
24.0000000000 5.7754383534 6.1531859505 6.5309335476 5.3976907563 5.0199431592
25.0000000000 4.9656532212 5.3018343761 5.6380155311 4.6294720662 4.2932909112
26.0000000000 4.3443269543 4.6480582861 4.9517896179 4.0405956226 3.7368642908
27.0000000000 3.9007136755 4.1802979977 4.4598823199 3.6211293533 3.3415450311
28.0000000000 3.6134783726 3.8755503569 4.1376223412 3.3514063883 3.0893344040
29.0000000000 3.4535087187 3.7026276850 3.9517466512 3.2043897525 2.9552707863
30.0000000000 3.3868533750 3.6256020562 3.8643507374 3.1481046938 2.9093560126
31.0000000000 3.3775866010 3.6070200169 3.8364534329 3.1481531850 2.9187197691
32.0000000000 3.3908526346 3.6110757784 3.8312989223 3.1706294908 2.9504063470
33.0000000000 3.3962995913 3.6070091038 3.8177186162 3.1855900789 2.9748805665
34.0000000000 3.3716022019 3.5725049825 3.7734077630 3.1706994214 2.9697966408
35.0000000000 3.3051740457 3.4962538253 3.6873336049 3.1140942661 2.9230144865
36.0000000000 3.1969508702 3.3785899405 3.5602290108 3.0153117999 2.8336727296
37.0000000000 3.0565506010 3.2295322618 3.4025139227 2.8835689401 2.7105872792
38.0000000000 2.8990669639 3.0644869800 3.2299069960 2.7336469479 2.5682269319
39.0000000000 2.7397617981 2.8988699706 3.0579781431 2.5806536256 2.4215454530
40.0000000000 2.5894522380 2.7434439069 2.8974355759 2.4354605690 2.2814689001
41.0000000000 2.4521248269 2.6019193184 2.7517138098 2.3023303355 2.1525358440
42.0000000000 2.3253655649 2.4714341603 2.6175027557 2.1792969695 2.0332283741
43.0000000000 2.2030260409 2.3453327978 2.4876395548 2.0607192839 1.9184125269
44.0000000000 2.0787261779 2.2168109429 2.3548957079 1.9406414129 1.8025566479
45.0000000000 1.9486748990 2.0818523417 2.2150297844 1.8154974564 1.6823200137
46.0000000000 1.8128585505 1.9404655484 2.0680725463 1.6852515525 1.5576445546
47.0000000000 1.6745366851 1.7961477685 1.9177588519 1.5529256017 1.4313145183
48.0000000000 1.5387242380 1.6542734244 1.7698226109 1.4231750515 1.3076258651
49.0000000000 1.4105928221 1.5203795675 1.6301663128 1.3008060768 1.1910193314
50.0000000000 1.2944628750 1.3990656459 1.5036684168 1.1898601041 1.0852573332
51.0000000000 1.1935259700 1.2936774320 1.3938288941 1.0933745079 0.9932230458
52.0000000000 1.1099793498 1.2064546423 1.3029299349 1.0135040572 0.9170287646
53.0000000000 1.0451114772 1.1386514799 1.2321914826 0.9515714745 0.8580314718
54.0000000000 0.9990740036 1.0903332515 1.1815924993 0.9078147557 0.8165555079
55.0000000000 0.9704306125 1.0599326186 1.1494346247 0.8809286064 0.7914266003
56.0000000000 0.9558394070 1.0439380176 1.1320366282 0.8677407964 0.7796421858
57.0000000000 0.9502388127 1.0371018960 1.1239649793 0.8633757294 0.7765126461
58.0000000000 0.9476711697 1.0333032241 1.1189352784 0.8620391154 0.7764070610
59.0000000000 0.9425397904 1.0268418030 1.1111438157 0.8582377777 0.7739357651
60.0000000000 0.9308553572 1.0137019721 1.0965485870 0.8480087423 0.7651621274
61.0000000000 0.9110088149 0.9923154255 1.0736220360 0.8297022043 0.7483955938
62.0000000000 0.8838130913 0.9635733187 1.0433335461 0.8040528640 0.7242926366
63.0000000000 0.8518641800 0.9301532803 1.0084423806 0.7735750798 0.6952859795
64.0000000000 0.8185290743 0.8954840760 0.9724390776 0.7415740726 0.6646190709
65.0000000000 0.7869579320 0.8627505096 0.9385430873 0.7111653543 0.6353727767
66.0000000000 0.7594279550 0.8342433422 0.9090587293 0.6846125679 0.6097971808
67.0000000000 0.7371250024 0.8111505599 0.8851761175 0.6630994449 0.5890738873
68.0000000000 0.7202714591 0.7936913303 0.8671112014 0.6468515880 0.5734317169
69.0000000000 0.7084028582 0.7813923037 0.8543817491 0.6354134127 0.5624239672
70.0000000000 0.7006104510 0.7733256967 0.8460409425 0.6278952052 0.5551799594
71.0000000000 0.6956659882 0.7682290585 0.8407921289 0.6231029179 0.5505398476
72.0000000000 0.6920586447 0.7645395963 0.8370205479 0.6195776931 0.5470967416
73.0000000000 0.6880393911 0.7604396451 0.8328398991 0.6156391371 0.5432388831
74.0000000000 0.6817594639 0.7540000957 0.8262407275 0.6095188322 0.5372782004
75.0000000000 0.6715236954 0.7434421869 0.8153606784 0.5996052040 0.5276867125
76.0000000000 0.6561006685 0.7274584019 0.7988161353 0.5847429351 0.5133852017
77.0000000000 0.6349836632 0.7054846373 0.7759856114 0.5644826891 0.4939817150
78.0000000000 0.6085021351 0.6778207322 0.7471393292 0.5391835380 0.4698649410
79.0000000000 0.5777367224 0.6455499349 0.7133631475 0.5099235098 0.4421102972
80.0000000000 0.5442630695 0.6102811896 0.6762993097 0.4782449493 0.4122268292
81.0000000000 0.5098082531 0.5737982326 0.6377882121 0.4458182736 0.3818282941
82.0000000000 0.4759247281 0.5377223699 0.5995200118 0.4141270863 0.3523294445
83.0000000000 0.4437673062 0.5032775302 0.5627877541 0.3842570823 0.3247468584
84.0000000000 0.4140118053 0.4711994818 0.5283871583 0.3568241288 0.2996364523
85.0000000000 0.3869021276 0.4417780187 0.4966539098 0.3320262366 0.2771503455
86.0000000000 0.3623758942 0.4149825690 0.4675892438 0.3097692195 0.2571625447
87.0000000000 0.3402076510 0.3906086165 0.4410095821 0.2898066854 0.2394057198
88.0000000000 0.3201215870 0.3683943529 0.4166671187 0.2718488212 0.2235760553
89.0000000000 0.3018523942 0.3480840693 0.3943157443 0.2556207192 0.2093890442
90.0000000000 0.2851593291 0.3294425142 0.3737256994 0.2408761439 0.1965929588
91.0000000000 0.2698157764 0.3122432566 0.3546707368 0.2273882963 0.1849608161
92.0000000000 0.2555991587 0.2962574633 0.3369157679 0.2149408540 0.1742825494
93.0000000000 0.2422973894 0.2812608613 0.3202243331 0.2033339176 0.1643704457
94.0000000000 0.2297341012 0.2670616953 0.3043892895 0.1924065071 0.1550789130
95.0000000000 0.2178027240 0.2535390458 0.2892753675 0.1820664023 0.1463300806
96.0000000000 0.2064935791 0.2406743410 0.2748551028 0.1723128172 0.1381320553
97.0000000000 0.1959003123 0.2285607906 0.2612212689 0.1632398340 0.1305793556
98.0000000000 0.1861996298 0.2173838231 0.2485680163 0.1550154365 0.1238312433
99.0000000000 0.1776077435 0.2073758533 0.2371439631 0.1478396337 0.1180715239
100.0000000000 0.1703248908 0.1987574745 0.2271900583 0.1418923070 0.1134597233
101.0000000000 0.1644824489 0.1916807041 0.2188789592 0.1372841938 0.1100859386
102.0000000000 0.1601057862 0.1861886311 0.2122714760 0.1340229413 0.1079400965
103.0000000000 0.1571007696 0.1822001041 0.2072994385 0.1320014352 0.1069021007
104.0000000000 0.1552649937 0.1795206719 0.2037763501 0.1310093154 0.1067536372
105.0000000000 0.1543188317 0.1778744364 0.2014300411 0.1307632271 0.1072076224
106.0000000000 0.1539474007 0.1769470145 0.1999466282 0.1309477870 0.1079481733
107.0000000000 0.1538436493 0.1764292205 0.1990147917 0.1312580780 0.1086725068
108.0000000000 0.1537441818 0.1760526910 0.1983612002 0.1314356727 0.1091271635
109.0000000000 0.1534527758 0.1756127524 0.1977727290 0.1312927992 0.1091328226
110.0000000000 0.1528499484 0.1749774583 0.1971049681 0.1307224386 0.1085949287
111.0000000000 0.1518902067 0.1740850137 0.1962798207 0.1296953997 0.1075005927
