# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 64.9551488221 67.4623419291 69.9695350361 62.4479557151 59.9407626081
1.0000000000 64.8542606490 67.3565797395 69.8588988300 62.3519415586 59.8496224681
2.0000000000 64.5509881250 67.0387766941 69.5265652631 62.0631995559 59.5754109869
3.0000000000 64.0436097596 66.5074817741 68.9713537885 61.5797377452 59.1158657307
4.0000000000 63.3296104327 65.7606162600 68.1916220872 60.8986046054 58.4675987781
5.0000000000 62.4062068029 64.7959783999 67.1857499969 60.0164352059 57.6266636089
6.0000000000 61.2710838462 63.6119555765 65.9528273069 58.9302121158 56.5893403854
7.0000000000 59.9232953846 62.2083960031 64.4934966216 57.6381947661 55.3530941477
8.0000000000 58.3642777885 60.5875964842 62.8109151800 56.1409590927 53.9176403969
9.0000000000 56.5988677885 58.7552914043 60.9117150201 54.4424441726 52.2860205568
10.0000000000 54.6361950481 56.7215249109 58.8068547738 52.5508651852 50.4655353224
11.0000000000 52.4903071875 54.5012518218 56.5121964562 50.4793625532 48.4684179188
12.0000000000 50.1803845433 52.1145370613 54.0486895794 48.2462320252 46.3120795072
13.0000000000 47.7304635577 49.5862595454 51.4420555330 45.8746675700 44.0188715823
14.0000000000 45.1686340625 46.9452922793 48.7219504960 43.3919758457 41.6153176290
15.0000000000 42.5257778606 44.2232241735 45.9206704864 40.8283315476 39.1308852347
16.0000000000 39.8339951683 41.4527659451 43.0715367219 38.2152243915 36.5964536147
17.0000000000 37.1249247115 38.6660519303 40.2071791491 35.5837974928 34.0426702740
18.0000000000 34.4282060577 35.8930872347 37.3579684117 32.9633248807 31.4984437037
19.0000000000 31.7702974279 33.1605591034 34.5508207789 30.3800357524 28.9897740769
20.0000000000 29.1738100962 30.4911751903 31.8085402845 27.8564450020 26.5390799078
21.0000000000 26.6573956250 27.9035704503 29.1497452757 25.4112207997 24.1650459743
22.0000000000 24.2361341827 25.4127257978 26.5893174128 23.0595425676 21.8829509526
23.0000000000 21.9222395673 23.0307158919 24.1391922165 20.8137632427 19.7052869181
24.0000000000 19.7258707692 20.7675640533 21.8092573375 18.6841774851 17.6424842010
25.0000000000 17.6558262019 18.6319777263 19.6081292507 16.6796746775 15.7035231531
26.0000000000 15.7199588462 16.6317906991 17.5436225521 14.8081269932 13.8962951402
27.0000000000 13.9252423558 14.7740421040 15.6228418523 13.0764426075 12.2276428593
28.0000000000 12.2775243029 13.0647287197 13.8519331365 11.4903198861 10.7031154693
29.0000000000 10.7810630096 11.5083258839 12.2355887581 10.0538001353 9.3265372611
30.0000000000 9.4379990865 10.1072370874 10.7764750883 8.7687610856 8.0995230848
31.0000000000 8.2478981875 8.8613085001 9.4747188127 7.6344878749 7.0210775623
32.0000000000 7.2074722692 7.7675236318 8.3275749943 6.6474209067 6.0873695441
33.0000000000 6.3105410312 6.8199424761 7.3293439210 5.8011395864 5.2917381415
34.0000000000 5.5482496971 6.0099029423 6.4715561875 5.0865964519 4.6249432067
35.0000000000 4.9095218005 5.3264674265 5.7434130525 4.4925761744 4.0756305484
36.0000000000 4.3816924519 4.7570597205 5.1324269891 4.0063251833 3.6309579148
37.0000000000 3.9512447909 4.2882143932 4.6251839956 3.6142751885 3.2773055861
38.0000000000 3.6045545673 3.9063406226 4.2081266778 3.3027685121 3.0009824568
39.0000000000 3.3285464327 3.5983985520 3.8682506713 3.0586943134 2.7888421940
40.0000000000 3.1111812500 3.3524025202 3.5936237904 2.8699599798 2.6287387096
41.0000000000 2.9417301635 3.1577010919 3.3736720204 2.7257592350 2.5097883065
42.0000000000 2.8108361274 3.0050303276 3.1992245278 2.6166419272 2.4224477270
43.0000000000 2.7104098269 2.8863846600 3.0623594930 2.5344349939 2.3584601608
44.0000000000 2.6334316995 2.7947758238 2.9561199480 2.4720875753 2.3107434510
45.0000000000 2.5737369615 2.7239638246 2.8741906877 2.4235100984 2.2732832353
46.0000000000 2.5258429303 2.6682370748 2.8106312194 2.3834487857 2.2410546412
47.0000000000 2.4848452788 2.6222934704 2.7597416620 2.3473970873 2.2099488957
48.0000000000 2.4463842524 2.5812396300 2.7160950076 2.3115288748 2.1766734972
49.0000000000 2.4066618365 2.5406784939 2.6746951512 2.2726451792 2.1386285219
50.0000000000 2.3624873894 2.4968329249 2.6311784603 2.2281418540 2.0937963185
51.0000000000 2.3113329399 2.4466580887 2.5819832375 2.1760077911 2.0406826423
52.0000000000 2.2513852115 2.3879199150 2.5244546184 2.1148505081 1.9783158046
53.0000000000 2.1815853798 2.3192359978 2.4568866158 2.0439347618 1.9062841438
54.0000000000 2.1016452813 2.2400797256 2.3785141699 1.9632108369 1.8247763926
55.0000000000 2.0120277524 2.1507439465 2.2894601407 1.8733115583 1.7345953641
56.0000000000 1.9138791635 2.0522590772 2.1906389909 1.7754992497 1.6371193360
57.0000000000 1.8089105673 1.9462631052 2.0836156430 1.6715580295 1.5342054916
58.0000000000 1.6992343389 1.8348315700 1.9704288011 1.5636371079 1.4280398768
59.0000000000 1.5871746899 1.7202836561 1.8533926224 1.4540657237 1.3209567574
60.0000000000 1.4750793750 1.6049916400 1.7349039051 1.3451671100 1.2152548449
61.0000000000 1.3651569880 1.4912162170 1.6172754460 1.2390977590 1.1130385299
62.0000000000 1.2593595373 1.3809871246 1.5026147120 1.1377319499 1.0161043625
63.0000000000 1.1593167877 1.2760347472 1.3927527067 1.0425988282 0.9258808688
64.0000000000 1.0663196745 1.1777698642 1.2892200538 0.9548694849 0.8434192953
65.0000000000 0.9813402757 1.0872987842 1.1932572927 0.8753817672 0.7694232587
66.0000000000 0.9050742702 1.0054597555 1.1058452409 0.8046887849 0.7043032995
67.0000000000 0.8379915130 0.9328668512 1.0277421895 0.7431161747 0.6482408365
68.0000000000 0.7803834587 0.8699507731 0.9595180876 0.6908161442 0.6012488298
69.0000000000 0.7323996041 0.8169894947 0.9015793853 0.6478097135 0.5632198229
70.0000000000 0.6940680341 0.7741240360 0.8541800379 0.6140120323 0.5339560304
71.0000000000 0.6652985425 0.7413584365 0.8174183305 0.5892386486 0.5131787546
72.0000000000 0.6458697887 0.7185446059 0.7912194230 0.5731949715 0.5005201544
73.0000000000 0.6354055452 0.7053571454 0.7753087455 0.5654539450 0.4955023449
74.0000000000 0.6333480659 0.7012658211 0.7691835764 0.5654303106 0.4975125553
75.0000000000 0.6389384577 0.7055159472 0.7720934367 0.5723609682 0.5057834787
76.0000000000 0.6512134514 0.7171265257 0.7830396000 0.5853003771 0.5193873028
77.0000000000 0.6690251250 0.7349129768 0.8008008287 0.6031372732 0.5372494213
78.0000000000 0.6910852880 0.7575358731 0.8239864583 0.6246347028 0.5581841177
79.0000000000 0.7160307017 0.7835710735 0.8511114454 0.6484903298 0.5809499580
80.0000000000 0.7425005702 0.8115917588 0.8806829473 0.6734093816 0.6043181930
81.0000000000 0.7692150202 0.8402504469 0.9112858737 0.6981795935 0.6271441667
82.0000000000 0.7950431798 0.8683494864 0.9416557930 0.7217368732 0.6484305666
83.0000000000 0.8190518495 0.8948913134 0.9707307773 0.7432123856 0.6673729217
84.0000000000 0.8405296812 0.9191034696 0.9976772580 0.7619558929 0.6833821045
85.0000000000 0.8589862370 0.9404382756 1.0218903141 0.7775341985 0.6960821599
86.0000000000 0.8741295577 0.9585506411 1.0429717245 0.7897084743 0.7052873909
87.0000000000 0.8858284012 0.9732602023 1.0606920033 0.7983966002 0.7109647991
88.0000000000 0.8940668969 0.9845055391 1.0749441812 0.8036282547 0.7131896125
89.0000000000 0.8988992178 0.9922981397 1.0856970615 0.8055002959 0.7121013741
90.0000000000 0.9004105089 0.9966823223 1.0929541358 0.8041386955 0.7078668820
91.0000000000 0.8986885832 0.9977060179 1.0967234526 0.7996711485 0.7006537138
92.0000000000 0.8938087659 0.9954050603 1.0970013548 0.7922124714 0.6906161769
93.0000000000 0.8858313844 0.9898002392 1.0937690940 0.7818625295 0.6778936747
94.0000000000 0.8748107498 0.9809068210 1.0870028922 0.7687146785 0.6626186073
95.0000000000 0.8608117411 0.9687520095 1.0766922779 0.7528714727 0.6449312043
96.0000000000 0.8439301800 0.9533967506 1.0628633212 0.7344636095 0.6249970389
97.0000000000 0.8243127399 0.9349574723 1.0456022046 0.7136680076 0.6030232752
98.0000000000 0.8021726084 0.9136238267 1.0250750450 0.6907213901 0.5792701719
99.0000000000 0.7777978139 0.8896684601 1.0015391062 0.6659271678 0.5540565216
100.0000000000 0.7515512300 0.8634487776 0.9753463251 0.6396536825 0.5277561349
101.0000000000 0.7238615966 0.8353985785 0.9469355604 0.6123246147 0.5007876328
102.0000000000 0.6952070423 0.8060117880 0.9168165337 0.5844022966 0.4735975509
103.0000000000 0.6660932959 0.7758200601 0.8855468242 0.5563665318 0.4466397676
104.0000000000 0.6370292055 0.7453671328 0.8537050600 0.5286912783 0.4203533510
105.0000000000 0.6085025901 0.7151828959 0.8218632017 0.5018222844 0.3951419786
106.0000000000 0.5809588363 0.6857599176 0.7905609990 0.4761577550 0.3713566736
107.0000000000 0.5547842406 0.6575345855 0.7602849304 0.4520338957 0.3492835508
108.0000000000 0.5302952130 0.6308741532 0.7314530935 0.4297162727 0.3291373325
109.0000000000 0.5077335224 0.6060700722 0.7044066221 0.4093969725 0.3110604226
110.0000000000 0.4872672046 0.5833373819 0.6794075593 0.3911970272 0.2951268498
111.0000000000 0.4689960550 0.5628191362 0.6566422174 0.3751729739 0.2813498927
112.0000000000 0.4529602873 0.5445944006 0.6362285139 0.3613261739 0.2696920606
113.0000000000 0.4391510606 0.5286885235 0.6182259865 0.3496135976 0.2600761346
114.0000000000 0.4275213111 0.5150840517 0.6026467924 0.3399585704 0.2523958297
115.0000000000 0.4179959308 0.5037310974 0.5894662640 0.3322607641 0.2465255975
116.0000000000 0.4104804370 0.4945563500 0.5786322629 0.3264045241 0.2423286111
117.0000000000 0.4048677373 0.4874700843 0.5700724314 0.3222653902 0.2396630431
118.0000000000 0.4010428377 0.4823711240 0.5636994102 0.3197145515 0.2383862652
119.0000000000 0.3988857442 0.4791498447 0.5594139451 0.3186216438 0.2383575434
120.0000000000 0.3982728214 0.4776896703 0.5571065192 0.3188559725 0.2394391236
121.0000000000 0.3990771171 0.4778674908 0.5566578644 0.3202867434 0.2414963697
122.0000000000 0.4011681375 0.4795536329 0.5579391283 0.3227826421 0.2443971467
123.0000000000 0.4044114671 0.4826117871 0.5608121070 0.3262111471 0.2480108271
124.0000000000 0.4086686349 0.4868993070 0.5651299792 0.3304379627 0.2522072905
125.0000000000 0.4137974079 0.4922680581 0.5707387083 0.3353267577 0.2568561076
126.0000000000 0.4196527303 0.4985659501 0.5774791699 0.3407395105 0.2618262907
127.0000000000 0.4260881553 0.5056389712 0.5851897871 0.3465373394 0.2669865235
128.0000000000 0.4329578690 0.5133337097 0.5937095503 0.3525820283 0.2722061876
129.0000000000 0.4401189651 0.5214999905 0.6028810159 0.3587379397 0.2773569143
130.0000000000 0.4474339673 0.5299935565 0.6125531457 0.3648743781 0.2823147889
131.0000000000 0.4547732154 0.5386784620 0.6225837087 0.3708679687 0.2869627221
132.0000000000 0.4620170748 0.5474290726 0.6328410704 0.3766050769 0.2911930791
133.0000000000 0.4690577209 0.5561315369 0.6432053529 0.3819839049 0.2949100889
134.0000000000 0.4758004269 0.5646846617 0.6535688964 0.3869161922 0.2980319575
135.0000000000 0.4821642889 0.5730002280 0.6638361671 0.3913283499 0.3004924108
136.0000000000 0.4880823817 0.5810027725 0.6739231632 0.3951619910 0.3022416002
137.0000000000 0.4935013296 0.5886288154 0.6837563012 0.3983738438 0.3032463580
138.0000000000 0.4983804416 0.5958258112 0.6932711809 0.4009350719 0.3034897023
139.0000000000 0.5026904548 0.6025507958 0.7024111367 0.4028301139 0.3029697729
140.0000000000 0.5064119784 0.6087688376 0.7111256968 0.4040551191 0.3016982599
141.0000000000 0.5095337923 0.6144514599 0.7193691275 0.4046161247 0.2996984571
142.0000000000 0.5120511305 0.6195751313 0.7270991321 0.4045271298 0.2970031290
143.0000000000 0.5139639798 0.6241198237 0.7342756677 0.4038081359 0.2936522919
144.0000000000 0.5152755411 0.6280677766 0.7408600121 0.4024833056 0.2896910701
