# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
62.0000000000 1.1206050820 1.2191015794 1.3175980768 1.0221085846 0.9236120872
63.0000000000 1.0224594200 1.1168448290 1.2112302380 0.9280740109 0.8336886019
64.0000000000 0.9300301611 1.0199134116 1.1097966622 0.8401469105 0.7502636599
65.0000000000 0.8449819923 0.9301180417 1.0152540911 0.7598459429 0.6747098935
66.0000000000 0.7686667058 0.8489699144 0.9292731231 0.6883634971 0.6080602884
67.0000000000 0.7021088546 0.7776613080 0.8532137615 0.6265564011 0.5510039476
68.0000000000 0.6460029995 0.7170563665 0.7881097336 0.5749496325 0.5038962655
69.0000000000 0.6007208909 0.6676901405 0.7346593902 0.5337516412 0.4667823916
70.0000000000 0.5663267332 0.6297732238 0.6932197145 0.5028802425 0.4394337519
71.0000000000 0.5425991510 0.6032011036 0.6638030562 0.4819971983 0.4213952457
72.0000000000 0.5290586406 0.5875691584 0.6460796762 0.4705481228 0.4120376050
73.0000000000 0.5249994661 0.5821959197 0.6393923732 0.4678030125 0.4106065590
74.0000000000 0.5295250608 0.5861579378 0.6427908148 0.4728921838 0.4162593068
75.0000000000 0.5415861077 0.5983369730 0.6550878383 0.4848352424 0.4280843771
76.0000000000 0.5600201466 0.6174757927 0.6749314388 0.5025645005 0.4451088544
77.0000000000 0.5835917334 0.6422361716 0.7008806098 0.5249472952 0.4663028571
78.0000000000 0.6110317858 0.6712525464 0.7314733069 0.5508110253 0.4905902647
79.0000000000 0.6410749822 0.7031776939 0.7652804056 0.5789722705 0.5168695588
80.0000000000 0.6724939031 0.7367193128 0.8009447225 0.6082684934 0.5440430837
81.0000000000 0.7041289575 0.7706681870 0.8372074166 0.6375897279 0.5710504984
82.0000000000 0.7349133673 0.8039191601 0.8729249528 0.6659075745 0.5969017818
83.0000000000 0.7638926952 0.8354860384 0.9070793816 0.6922993520 0.6207060088
84.0000000000 0.7902389236 0.8645114172 0.9387839108 0.7159664300 0.6416939364
85.0000000000 0.8132592981 0.8902723997 0.9672855014 0.7362461964 0.6592330947
86.0000000000 0.8324003543 0.9121825924 0.9919648304 0.7526181163 0.6728358783
87.0000000000 0.8472478752 0.9297913357 1.0123347963 0.7647044147 0.6821609542
88.0000000000 0.8575234002 0.9427804995 1.0280375988 0.7722663010 0.6870092017
89.0000000000 0.8630780046 0.9509591372 1.0388402698 0.7751968720 0.6873157394
90.0000000000 0.8638839829 0.9542566629 1.0446293428 0.7735113030 0.6831386231
91.0000000000 0.8600249579 0.9527146082 1.0454042585 0.7673353077 0.6746456574
92.0000000000 0.8516846620 0.9464768349 1.0412690078 0.7568924891 0.6621003162
