# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 63.7039177163 66.1748061529 68.6456945894 61.2330292798 58.7621408433
1.0000000000 63.6067640865 66.0728859066 68.5390077266 61.1406422665 58.6745204465
2.0000000000 63.3147600240 65.7666732316 68.2185864391 60.8628468165 58.4109336090
3.0000000000 62.8263665385 65.2549009012 67.6834352639 60.3978321758 57.9692978131
4.0000000000 62.1393242308 64.5357454840 66.9321667372 59.7429029775 57.3464817243
5.0000000000 61.2511139904 63.6072692318 65.9634244733 58.8949587489 56.5388035075
6.0000000000 60.1596007452 62.4680378465 64.7764749479 57.8511636438 55.5427265425
7.0000000000 58.8638369471 61.1178928727 63.3719487983 56.6097810215 54.3557250959
8.0000000000 57.3649709615 59.5588340262 61.7526970908 55.1711078969 52.9772448323
9.0000000000 55.6671778125 57.7959187447 59.9246596769 53.5384368803 51.4096959481
10.0000000000 53.7784962981 55.8380784617 57.8976606253 51.7189141345 49.6593319708
11.0000000000 51.7114395433 53.6987040731 55.6859686029 49.7241750135 47.7369104836
12.0000000000 49.4832631010 51.3958974168 53.3085317326 47.5706287851 45.6579944693
13.0000000000 47.1157931010 48.9522830692 50.7887730374 45.2793031327 43.4428131645
14.0000000000 44.6347871394 46.3943521281 48.1539171168 42.8752221507 41.1156571620
15.0000000000 42.0688745913 43.7513892500 45.4339039086 40.3863599327 38.7038452741
16.0000000000 39.4481841587 41.0540826380 42.6599811173 37.8422856793 36.2363872000
17.0000000000 36.8028540865 38.3330216670 39.8631892475 35.2726865061 33.7425189256
18.0000000000 34.1616167788 35.6172716880 37.0729265971 32.7059618697 31.2503069606
19.0000000000 31.5506680529 32.9332363681 34.3158046834 30.1680997376 28.7855314224
20.0000000000 28.9929584375 30.3039571073 31.6149557772 27.6819597677 26.3709610978
21.0000000000 26.5079624519 27.7488986311 28.9898348103 25.2670262727 24.0260900936
22.0000000000 24.1118820433 25.2841812107 26.4564803781 22.9395828759 21.7672837085
23.0000000000 21.8181549760 22.9231266687 24.0280983614 20.7131832832 19.6082115905
24.0000000000 19.6380843269 20.6769263851 21.7157684432 18.5992422688 17.5604002106
25.0000000000 17.5813991346 18.5552393155 19.5290794964 16.6075589537 15.6337187728
26.0000000000 15.6566062019 16.5665673453 17.4765284886 14.7466450586 13.8366839153
27.0000000000 13.8710590865 14.7183402141 15.5656213417 13.0237779590 12.1764968314
28.0000000000 12.2307677837 13.0167212279 13.8026746722 11.4448143394 10.6588608951
29.0000000000 10.7400212957 11.4662189567 12.1924166176 10.0138236347 9.2876259737
30.0000000000 9.4009518437 10.0692295655 10.7375072872 8.7326741220 8.0643964003
31.0000000000 8.2131536442 8.8256296766 9.4381057089 7.6006776119 6.9882015796
32.0000000000 7.1734603173 7.7325303661 8.2916004150 6.6143902685 6.0553202197
33.0000000000 6.2759305841 6.7842394676 7.2925483510 5.7676217007 5.2593128172
34.0000000000 5.5120649567 5.9724640943 6.4328632319 5.0516658191 4.5912666815
35.0000000000 4.8712303966 5.2867279868 5.7022255771 4.4557328064 4.0402352162
36.0000000000 4.3412453702 4.7149590422 5.0886727141 3.9675316982 3.5938180263
37.0000000000 3.9090557067 4.2441756148 4.5792955229 3.5739357987 3.2388158906
38.0000000000 3.5614162861 3.8611847148 4.1609531436 3.2616478573 2.9618794285
39.0000000000 3.2854964014 3.5532048595 3.8209133175 3.0177879434 2.7500794854
40.0000000000 3.0693391659 3.3083397112 3.5473402565 2.8303386205 2.5913380752
41.0000000000 2.9021376635 3.1158604763 3.3295832891 2.6884148506 2.4746920378
42.0000000000 2.7743280409 2.9662916872 3.1582553336 2.5823643945 2.3904007482
43.0000000000 2.6775351659 2.8513337790 3.0251323920 2.5037365528 2.3299379397
44.0000000000 2.6044316995 2.7636812048 2.9229307101 2.4451821943 2.2859326890
45.0000000000 2.5485723125 2.6968039691 2.8450356258 2.4003406559 2.2521089992
46.0000000000 2.5042535938 2.6447617284 2.7852698630 2.3637454591 2.2232373245
47.0000000000 2.4664250409 2.6021000966 2.7377751524 2.3307499851 2.1950749293
48.0000000000 2.4306545433 2.5638496006 2.6970446579 2.2974594859 2.1642644286
49.0000000000 2.3931353197 2.5256029636 2.6580706074 2.2606676759 2.1282000320
50.0000000000 2.3507173317 2.4836234312 2.6165295307 2.2178112322 2.0849051327
51.0000000000 2.3009470553 2.4349404080 2.5689337607 2.1669537026 2.0329603498
52.0000000000 2.2421036899 2.3774113491 2.5127190083 2.1067960307 1.9714883715
53.0000000000 2.1732226923 2.3097463636 2.4462700350 2.0366990210 1.9001753496
54.0000000000 2.0940968269 2.2314974399 2.3688980528 1.9566962140 1.8192956010
55.0000000000 2.0052438197 2.1430102593 2.2807766990 1.8674773801 1.7297109404
56.0000000000 1.9078322380 2.0453360211 2.1828398041 1.7703284549 1.6328246718
57.0000000000 1.8035639111 1.9401031263 2.0766423415 1.6670246958 1.5304854806
58.0000000000 1.6945187813 1.8293550767 1.9641913722 1.5596824858 1.4248461903
59.0000000000 1.5829799784 1.7153713847 1.8477627911 1.4505885720 1.3181971657
60.0000000000 1.4712597837 1.6004906027 1.7297214218 1.3420289646 1.2127981455
61.0000000000 1.3615492885 1.4869579184 1.6123665484 1.2361406585 1.1107320285
62.0000000000 1.2558064974 1.3768108816 1.4978152659 1.1348021131 1.0137977288
63.0000000000 1.1556905613 1.2718107739 1.3879309865 1.0395703487 0.9234501361
64.0000000000 1.0625389784 1.1734159308 1.2842928833 0.9516620259 0.8407850735
65.0000000000 0.9773788517 1.0827879545 1.1881970574 0.8719697488 0.7665606460
66.0000000000 0.9009603618 1.0008196710 1.1006789802 0.8011010525 0.7012417433
67.0000000000 0.8337989709 0.9281707995 1.0225426281 0.7394271423 0.6450553137
68.0000000000 0.7762173248 0.8653037892 0.9543902535 0.6871308604 0.5980443960
69.0000000000 0.7283782642 0.8125111661 0.8966440680 0.6442453623 0.5601124604
70.0000000000 0.6903046808 0.7699306701 0.8495566595 0.6106786914 0.5310527020
71.0000000000 0.6618844361 0.7375465203 0.8132086045 0.5862223519 0.5105602677
72.0000000000 0.6428618464 0.7151780061 0.7874941658 0.5705456867 0.4982295270
73.0000000000 0.6328203050 0.7024599809 0.7720996567 0.5631806292 0.4935409534
74.0000000000 0.6311632947 0.6988225457 0.7664817967 0.5635040437 0.4958447928
75.0000000000 0.6371022728 0.7034789538 0.7698556348 0.5707255919 0.5043489109
76.0000000000 0.6496592752 0.7154300979 0.7812009205 0.5838884526 0.5181176300
77.0000000000 0.6676894639 0.7334908065 0.7992921490 0.6018881214 0.5360867789
78.0000000000 0.6899245654 0.7563384896 0.8227524139 0.6235106411 0.5570967169
79.0000000000 0.7150335404 0.7825792810 0.8501250215 0.6474877998 0.5799420593
80.0000000000 0.7416929611 0.8108231695 0.8799533779 0.6725627526 0.6034325442
81.0000000000 0.7686573974 0.8397578538 0.9108583103 0.6975569409 0.6264564844
82.0000000000 0.7948201180 0.8682114988 0.9416028795 0.7214287373 0.6480373566
83.0000000000 0.8192566127 0.8951973687 0.9711381247 0.7433158567 0.6673751008
84.0000000000 0.8412465673 0.9199361762 0.9986257850 0.7625569585 0.6838673496
85.0000000000 0.8602739851 0.9418563981 1.0234388111 0.7786915721 0.6971091590
86.0000000000 0.8760084615 0.9605755171 1.0451425727 0.7914414059 0.7068743503
87.0000000000 0.8882729861 0.9758675163 1.0634620466 0.8006784558 0.7130839255
88.0000000000 0.8970049954 0.9876236904 1.0782423854 0.8063863005 0.7157676055
89.0000000000 0.9022171558 0.9958127457 1.0894083357 0.8086215658 0.7150259758
90.0000000000 0.9039633858 1.0004461441 1.0969289023 0.8074806276 0.7109978693
91.0000000000 0.9023141226 1.0015528353 1.1007915480 0.8030754099 0.7038366972
92.0000000000 0.8973425781 0.9991651397 1.1009877013 0.7955200165 0.6936974549
93.0000000000 0.8891221224 0.9933161871 1.0975102519 0.7849280576 0.6807339928
94.0000000000 0.8777328976 0.9840468543 1.0903608110 0.7714189409 0.6651049842
95.0000000000 0.8632751012 0.9714203177 1.0795655342 0.7551298847 0.6469846682
