# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 128.0302971154 133.2654125110 138.5005279067 122.7951817197 117.5600663241
1.0000000000 127.6211353365 132.8398704970 138.0586056574 122.4024001761 117.1836650156
2.0000000000 126.3959149038 131.5658247804 136.7357346570 121.2260050273 116.0560951507
3.0000000000 124.3622235577 129.4518205416 134.5414175255 119.2726265738 114.1830295899
4.0000000000 121.5351543269 126.5144981797 131.4938420325 116.5558104741 111.5764666213
5.0000000000 117.9404411058 122.7817139212 127.6229867367 113.0991682903 108.2578954749
6.0000000000 113.6178995192 118.2958910060 122.9738824928 108.9399080324 104.2619165457
7.0000000000 108.6242878846 113.1168332434 117.6093786023 104.1317425258 99.6391971670
8.0000000000 103.0350008654 107.3233111204 111.6116213755 98.7466906103 94.4583803553
9.0000000000 96.9438806490 101.0127860510 105.0816914529 92.8749752471 88.8060698452
10.0000000000 90.4609720913 94.2990363142 98.1371005370 86.6229078685 82.7848436457
11.0000000000 83.7082787019 87.3078030378 90.9073273737 80.1087543660 76.5092300301
12.0000000000 76.8139683173 80.1708653539 83.5277623905 73.4570712807 70.1001742441
13.0000000000 69.9057716106 73.0193194159 76.1328672213 66.7922238052 63.6786759999
14.0000000000 63.1044624279 65.9769613757 68.8494603235 60.2319634801 57.3594645323
15.0000000000 56.5182744712 59.1546369571 61.7909994431 53.8819119852 51.2455494992
16.0000000000 50.2389268029 52.6462441129 55.0535614229 47.8316094929 45.4242921829
17.0000000000 44.3395878125 46.5267259999 48.7138641872 42.1524496251 39.9653114378
18.0000000000 38.8747315865 40.8519972133 42.8292628401 36.8974659598 34.9202003330
19.0000000000 33.8814885337 35.6603927606 37.4392969875 32.1025843068 30.3236800799
20.0000000000 29.3818691587 30.9749938726 32.5681185866 27.7887444447 26.1956197307
21.0000000000 25.3851814183 26.8061165601 28.2270517019 23.9642462764 22.5433111346
22.0000000000 21.8900878606 23.1533888943 24.4166899280 20.6267868269 19.3634857932
23.0000000000 18.8860049279 20.0071032363 21.1282015448 17.7649066194 16.6438083110
24.0000000000 16.3538372837 17.3488365936 18.3438359036 15.3588379737 14.3638386637
25.0000000000 14.2662989183 15.1516074535 16.0369159888 13.3809903830 12.4956818478
26.0000000000 12.5882116346 13.3800065370 14.1718014395 11.7964167322 11.0046218298
27.0000000000 11.2771530072 11.9907306302 12.7043082531 10.5635753843 9.8499977613
28.0000000000 10.2847127837 10.9338412883 11.5829697929 9.6355842790 8.9864557744
29.0000000000 9.5584147933 10.1548489748 10.7512831564 8.9619806117 8.3655464301
30.0000000000 9.0441650793 9.5974388603 10.1507126413 8.4908912983 7.9376175174
31.0000000000 8.6889621058 9.2064995286 9.7240369514 8.1714246830 7.6538872601
32.0000000000 8.4435255000 8.9309960015 9.4184665030 7.9560549985 7.4685844970
33.0000000000 8.2645231154 8.7263115730 9.1881000305 7.8027346578 7.3409462002
34.0000000000 8.1161411995 8.5558002443 8.9954592890 7.6764821548 7.2368231100
35.0000000000 7.9708514471 8.3914444913 8.8120375354 7.5502584030 7.1296653588
36.0000000000 7.8093518077 8.2136478341 8.6179438605 7.4050557813 7.0007597549
37.0000000000 7.6197849159 8.0103109530 8.4008369902 7.2292588787 6.8387328415
38.0000000000 7.3964415096 7.7754286858 8.1544158620 7.0174543334 6.6384671572
39.0000000000 7.1382231394 7.5074970979 7.8767710563 6.7689491810 6.3996752225
40.0000000000 6.8471444231 7.2080106903 7.5688769574 6.4862781559 6.1254118887
41.0000000000 6.5270991130 6.8802647537 7.2334303944 6.1739334723 5.8207678315
42.0000000000 6.1830117139 6.5285680235 6.8741243331 5.8374554043 5.4918990947
43.0000000000 5.8203762596 6.1578504590 6.4953246584 5.4829020602 5.1454278608
44.0000000000 5.4450853317 5.7735544209 6.1020235100 5.1166162426 4.7881471535
45.0000000000 5.0634022260 5.3816515398 5.6999008536 4.7451529121 4.4269035983
46.0000000000 4.6819344231 4.9886381341 5.2953418452 4.3752307120 4.0685270010
47.0000000000 4.3075140144 4.6014134392 4.8953128640 4.0136145896 3.7197151648
48.0000000000 3.9469557837 4.2270153963 4.5070750089 3.6668961710 3.3868365584
49.0000000000 3.6067183029 3.8722444194 4.1377705359 3.3411921864 3.0756660699
50.0000000000 3.2925249423 3.5432400852 3.7939552281 3.0418097994 2.7910946565
51.0000000000 3.0090068798 3.2450783733 3.4811498668 2.7729353863 2.5368638928
52.0000000000 2.7594210937 2.9814476475 3.2034742012 2.5373945400 2.3153679863
53.0000000000 2.5454774038 2.7544401333 2.9634028628 2.3365146744 2.1275519449
54.0000000000 2.3672961370 2.5644815796 2.7616670223 2.1701106944 1.9729252518
55.0000000000 2.2235012332 2.4104063052 2.5973113773 2.0365961611 1.8496910891
56.0000000000 2.1114411058 2.2896706200 2.4679001342 1.9332115915 1.7549820773
57.0000000000 2.0275102091 2.1986787056 2.3698472022 1.8563417126 1.6851732161
58.0000000000 1.9675301154 2.1331790148 2.2988279143 1.8018812159 1.6362323165
59.0000000000 1.9271342452 2.0886714595 2.2502086737 1.7655970309 1.6040598167
60.0000000000 1.9021025745 2.0607671771 2.2194317796 1.7434379720 1.5847733694
61.0000000000 1.8886040216 2.0454537960 2.2023035705 1.7317542472 1.5749044728
62.0000000000 1.8833249135 2.0392414469 2.1951579803 1.7274083801 1.5714918467
63.0000000000 1.8834912115 2.0391959846 2.1949007577 1.7277864385 1.5720816654
64.0000000000 1.8868071346 2.0428828786 2.1989586226 1.7307313906 1.5746556467
65.0000000000 1.8913490697 2.0482609241 2.2051727784 1.7344372154 1.5775253610
66.0000000000 1.8954490481 2.0535614985 2.2116739490 1.7373365976 1.5792241472
67.0000000000 1.8975965144 2.0571843711 2.2167722278 1.7380086578 1.5784208011
68.0000000000 1.8963752043 2.0576269171 2.2188786298 1.7351234916 1.5738717789
