# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 25.9769208413 27.2445533049 28.5121857685 24.7092883777 23.4416559141
1.0000000000 25.9857398317 27.2514893883 28.5172389449 24.7199902751 23.4542407185
2.0000000000 26.0117060577 27.2718872112 28.5320683648 24.7515249042 23.4913437506
3.0000000000 26.0533550240 27.3045144481 28.5556738722 24.8021955999 23.5510361758
4.0000000000 26.1082764663 27.3473343035 28.5863921407 24.8692186292 23.6301607920
5.0000000000 26.1731584375 27.3975229787 28.6218875200 24.9487938963 23.7244293550
6.0000000000 26.2438462500 27.4515013813 28.6591565125 25.0361911187 23.8285359875
7.0000000000 26.3154135337 27.5049683573 28.6945231809 25.1258587100 23.9363038864
8.0000000000 26.3822496875 27.5529494681 28.7236492487 25.2115499069 24.0408501263
9.0000000000 26.4381646154 27.5898624440 28.7415602727 25.2864667867 24.1347689581
10.0000000000 26.4765168029 27.6096062834 28.7426957639 25.3434273224 24.2103378418
11.0000000000 26.4903709375 27.6056882859 28.7210056342 25.3750535891 24.2597362408
12.0000000000 26.4726828365 27.5713837942 28.6700847519 25.3739818789 24.2752809212
13.0000000000 26.4165145673 27.4999378926 28.5833612179 25.3330912420 24.2496679167
14.0000000000 26.3152685577 27.3847981452 28.4543277327 25.2457389702 24.1762093827
15.0000000000 26.1629244712 27.2198586375 28.2767928038 25.1059903048 24.0490561385
16.0000000000 25.9542648317 26.9997074748 28.0451501179 24.9088221886 23.8633795455
17.0000000000 25.6850628846 26.7198380123 27.7546131401 24.6502877569 23.6155126292
18.0000000000 25.3522211298 26.3768164474 27.4014117649 24.3276258123 23.3030304947
19.0000000000 24.9538446635 25.9683831583 26.9829216532 23.9393061686 22.9247676737
20.0000000000 24.4892510337 25.4934878519 26.4977246701 23.4850142154 22.4807773972
21.0000000000 23.9589207212 24.9522602603 25.9455997995 22.9655811820 21.9722416428
22.0000000000 23.3644088942 24.3459351388 25.3274613833 22.3828826497 21.4013564052
23.0000000000 22.7082344952 23.6767511627 24.6452678302 21.7397178277 20.7712011602
24.0000000000 21.9937680529 22.9478423504 23.9019166479 21.0396937554 20.0856194579
25.0000000000 21.2251414904 22.1631507885 23.1011600866 20.2871321923 19.3491228941
26.0000000000 20.4071736538 21.3273499957 22.2475263375 19.4869973120 18.5668209702
27.0000000000 19.5453221154 20.4457946262 21.3462671370 18.6448496046 17.7443770938
28.0000000000 18.6456443269 19.5244830596 20.4033217923 17.7668055942 16.8879668615
29.0000000000 17.7147546875 18.5700103552 19.4252660228 16.8594990198 16.0042433522
30.0000000000 16.7597671154 17.5895118357 18.4192565560 15.9300223951 15.1002776747
31.0000000000 15.7882009856 16.5905663132 17.3929316409 14.9858356579 14.1834703302
32.0000000000 14.8078612500 15.5810761652 16.3542910804 14.0346463348 13.2614314196
33.0000000000 13.8266850000 14.5691124384 15.3115398769 13.0842575616 12.3418301231
34.0000000000 12.8525668750 13.5627372890 14.2729077031 12.1423964610 11.4322260469
35.0000000000 11.8931764014 12.5698182326 13.2464600638 11.2165345703 10.5398927391
36.0000000000 10.9557823389 11.5978499622 12.2399175854 10.3137147157 9.6716470925
37.0000000000 10.0470955793 10.6537904224 11.2604852654 9.4404007363 8.8337058932
38.0000000000 9.1731391923 9.7439277944 10.3147163965 8.6023505902 8.0315619881
39.0000000000 8.3391550817 8.8737818352 9.4084085886 7.8045283283 7.2699015748
40.0000000000 7.5495441490 8.0480373126 8.5465304762 7.0510509855 6.5525578219
41.0000000000 6.8078405096 7.2705144954 7.7331884811 6.3451665239 5.8824925381
42.0000000000 6.1167128029 6.5441647673 6.9716167318 5.6892608384 5.2618088740
43.0000000000 5.4779858846 5.8710880090 6.2641901334 5.0848837602 4.6917816358
44.0000000000 4.8926761034 5.2525632567 5.6124504100 4.5327889500 4.1729017967
45.0000000000 4.3610350938 4.6890885205 5.0171419473 4.0329816670 3.7049282402
46.0000000000 3.8825987644 4.1804255173 4.4782522702 3.5847720115 3.2869452586
47.0000000000 3.4562397620 3.7256487716 3.9950577811 3.1868307525 2.9174217430
48.0000000000 3.0802251563 3.3231999749 3.5661747936 2.8372503376 2.5942755189
49.0000000000 2.7522788654 2.9709473768 3.1896158882 2.5336103540 2.3149418426
50.0000000000 2.4696504639 2.6662518145 2.8628531650 2.2730491134 2.0764477629
51.0000000000 2.2291900288 2.4060385686 2.5828871083 2.0523414891 1.8754929494
52.0000000000 2.0274277428 2.1868736061 2.3463194695 1.8679818795 1.7085360161
53.0000000000 1.8606573678 2.0050425925 2.1494278172 1.7162721431 1.5718869183
54.0000000000 1.7250215529 1.8566319835 1.9882424140 1.5934111223 1.4618006917
55.0000000000 1.6165966490 1.7376108006 1.8586249522 1.4955824975 1.3745683459
56.0000000000 1.5314760769 1.6439150187 1.7563539605 1.4190371351 1.3065981933
57.0000000000 1.4658493558 1.5715332294 1.6772171029 1.3601654822 1.2544816086
58.0000000000 1.4160742308 1.5165926728 1.6171111148 1.3155557887 1.2150373467
59.0000000000 1.3787401466 1.4754409295 1.5721417124 1.2820393638 1.1853385809
60.0000000000 1.3507197692 1.4447157369 1.5387117046 1.2567238015 1.1627278338
61.0000000000 1.3292074784 1.4213978543 1.5135882302 1.2370171024 1.1448267265
62.0000000000 1.3117434904 1.4028425056 1.4939415208 1.2206444752 1.1295454600
63.0000000000 1.2962239663 1.3867903255 1.4773566846 1.2056576072 1.1150912481
64.0000000000 1.2808987298 1.3713609502 1.4618231706 1.1904365094 1.0999742890
65.0000000000 1.2643583637 1.3550340046 1.4457096454 1.1736827228 1.0830070820
66.0000000000 1.2455134185 1.3366221361 1.4277308536 1.1544047010 1.0632959834
67.0000000000 1.2235687673 1.3152409649 1.4069131626 1.1318965697 1.0402243721
68.0000000000 1.1979955863 1.2902777147 1.3825598431 1.1057134579 1.0134313295
69.0000000000 1.1685024680 1.2613620690 1.3542216700 1.0756428670 0.9827832660
70.0000000000 1.1350079392 1.2283385348 1.3216691304 1.0416773436 0.9483467480
71.0000000000 1.0976143067 1.1912422246 1.2848701425 1.0039863888 0.9103584710
72.0000000000 1.0565828190 1.1502755488 1.2439682786 0.9628900892 0.8691973594
73.0000000000 1.0123102885 1.1057866957 1.1992631030 0.9188338812 0.8253574739
74.0000000000 0.9653055065 1.0582476349 1.1511897632 0.8723633781 0.7794212498
75.0000000000 0.9161651663 1.0082312035 1.1002972407 0.8240991292 0.7320330920
76.0000000000 0.8655487899 0.9563865176 1.0472242453 0.7747110622 0.6838733345
77.0000000000 0.8141526692 0.9034131000 0.9926735307 0.7248922385 0.6356318077
