# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 36.2950157692 37.8762141182 39.4574124672 34.7138174203 33.1326190713
1.0000000000 36.2915027163 37.8706488493 39.4497949823 34.7123565834 33.1332104504
2.0000000000 36.2804275000 37.8534910116 39.4265545231 34.7073639884 33.1343004769
3.0000000000 36.2601779327 37.8233431603 39.3865083880 34.6970127051 33.1338474774
4.0000000000 36.2280544712 37.7778483562 39.3276422413 34.6782605861 33.1284667010
5.0000000000 36.1802677885 37.7136619690 39.2470561496 34.6468736079 33.1134794273
6.0000000000 36.1119521154 37.6264347166 39.1409173177 34.5974695142 33.0829869130
7.0000000000 36.0172252163 37.5108378726 39.0044505289 34.5236125601 33.0299999038
8.0000000000 35.8893107933 37.3606485740 38.8319863547 34.4179730125 32.9466352318
9.0000000000 35.7207509375 37.1689240291 38.6170971208 34.2725778459 32.8244047542
10.0000000000 35.5037127644 36.9282798806 38.3528469967 34.0791456483 32.6545785321
11.0000000000 35.2303977885 36.6312734181 38.0321490478 33.8295221588 32.4286465292
12.0000000000 34.8935216106 36.2708694833 37.6482173561 33.5161737378 32.1388258651
13.0000000000 34.4868364183 35.8409585509 37.1950806836 33.1327142856 31.7785921530
14.0000000000 34.0056254808 35.3368570668 36.6680886528 32.6743938947 31.3431623087
15.0000000000 33.4471135577 34.7557365943 36.0643596308 32.1384905211 30.8298674845
16.0000000000 32.8107224760 34.0968972667 35.3830720575 31.5245476852 30.2383728944
17.0000000000 32.0981215865 33.3618453547 34.6255691229 30.8343978183 29.5706740501
18.0000000000 31.3130561779 32.5541444557 33.7952327335 30.0719679001 28.8308796222
19.0000000000 30.4609665385 31.6790538382 32.8971411380 29.2428792387 28.0247919389
20.0000000000 29.5484532933 30.7430079016 31.9375625098 28.3538986850 27.1593440767
21.0000000000 28.5826767548 29.7530185822 30.9233604096 27.4123349274 26.2419931000
22.0000000000 27.5707900000 28.7161127496 29.8614354992 26.4254672504 25.2801445008
23.0000000000 26.5195084375 27.6388955932 28.7582827490 25.4001212818 24.2807341260
24.0000000000 25.4348736538 26.5273112791 27.6197489044 24.3424360286 23.2499984033
25.0000000000 24.3222424279 25.3866289444 26.4510154610 23.2578559113 22.1934693948
26.0000000000 23.1864706010 24.2216257573 25.2567809136 22.1513154446 21.1161602883
27.0000000000 22.0322234135 23.0369023903 24.0415813671 21.0275444366 20.0228654598
28.0000000000 20.8643173798 21.8372279164 22.8101384531 19.8914068432 18.9184963066
29.0000000000 19.6880144231 20.6278425475 21.5676706720 18.7481862986 17.8083581742
30.0000000000 18.5091982933 19.4146389672 20.3200796412 17.6037576193 16.6983169453
31.0000000000 17.3344009615 18.2041926691 19.0739843767 16.4646092539 15.5948175464
32.0000000000 16.1706897115 17.0036525994 17.8366154872 15.3377268237 14.5047639358
33.0000000000 15.0254436779 15.8205185278 16.6155933777 14.2303688280 13.4352939781
34.0000000000 13.9060570192 14.6623398044 15.4186225896 13.1497742340 12.3934914489
35.0000000000 12.8196218029 13.5363997920 14.2531777812 12.1028438137 11.3860658246
36.0000000000 11.7726290745 12.4494081301 13.1261871856 11.0958500190 10.4190709634
37.0000000000 10.7707184976 11.4072430757 12.0437676538 10.1341939195 9.4976693414
38.0000000000 9.8185123870 10.4147808291 11.0110492713 9.2222439449 8.6259755028
39.0000000000 8.9195413606 9.4758083426 10.0320753247 8.3632743785 7.8070073965
40.0000000000 8.0762690889 8.5930443040 9.1098195191 7.5594938739 7.0427186588
41.0000000000 7.2901969519 7.7682381901 8.2462794284 6.8121557137 6.3341144755
42.0000000000 6.5620197500 7.0023243298 7.4426289097 6.1217151702 5.6814105903
43.0000000000 5.8917925529 6.2955881988 6.6993838447 5.4879969070 5.0842012610
44.0000000000 5.2790728438 5.6478075444 6.0165422451 4.9103381431 4.5416034424
45.0000000000 4.7230130529 5.0583427820 5.3936725112 4.3876833237 4.0523535946
46.0000000000 4.2223991466 4.5261710370 4.8299429273 3.9186272563 3.6148553660
47.0000000000 3.7756464255 4.0498760400 4.3241056546 3.5014168109 3.2271871964
