# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 25.9382259135 27.2722097750 28.6061936366 24.6042420519 23.2702581903
1.0000000000 25.9499423317 27.2816881655 28.6134339993 24.6181964979 23.2864506641
2.0000000000 25.9851281731 27.3102725034 28.6354168337 24.6599838428 23.3348395125
3.0000000000 26.0438738702 27.3583843749 28.6728948796 24.7293633655 23.4148528608
4.0000000000 26.1262567308 27.4266354279 28.7270141250 24.8258780336 23.5254993365
5.0000000000 26.2322363221 27.5156954354 28.7991545487 24.9487772088 23.6653180956
6.0000000000 26.3615105529 27.6261123482 28.8907141434 25.0969087576 23.8323069623
7.0000000000 26.5133401202 27.7580907098 29.0028412995 25.2685895305 24.0238389409
8.0000000000 26.6863537019 27.9112422990 29.1361308960 25.4614651049 24.2365765078
9.0000000000 26.8783468990 28.0843256139 29.2903043287 25.6723681842 24.4663894694
10.0000000000 27.0860930048 28.2749945622 29.4638961197 25.8971914474 24.7082898900
11.0000000000 27.3051857452 28.4795820982 29.6539784511 26.1307893922 24.9563930392
12.0000000000 27.5299334856 28.6929413315 29.8559491774 26.3669256397 25.2039177938
13.0000000000 27.7533243510 28.9083783716 30.0634323922 26.5982703304 25.4432163098
14.0000000000 27.9670763942 29.1176836389 30.2682908837 26.8164691495 25.6658619048
15.0000000000 28.1617729327 29.3112730292 30.4607731257 27.0122728362 25.8627727397
16.0000000000 28.3270884856 29.4784409664 30.6297934472 27.1757360048 26.0243835240
17.0000000000 28.4520920913 29.6077045301 30.7633169688 27.2964796526 26.1408672139
18.0000000000 28.5256060577 29.6872120571 30.8488180566 27.3640000582 26.2023940588
19.0000000000 28.5366101442 29.7051985631 30.8737869819 27.3680217254 26.1994333066
20.0000000000 28.4746543750 29.6504437330 30.8262330909 27.2988650170 26.1230756591
21.0000000000 28.3302626683 29.5127159327 30.6951691971 27.1478094038 25.9653561394
22.0000000000 28.0953062740 29.2831722100 30.4710381459 26.9074403381 25.7195744022
23.0000000000 27.7633298077 28.9547068635 30.1460839193 26.5719527519 25.3805756961
24.0000000000 27.3298085096 28.5222195187 29.7146305277 26.1373975006 24.9449864915
25.0000000000 26.7923445433 27.9828181022 29.1732916612 25.6018709843 24.4113974254
26.0000000000 26.1507808894 27.3359375978 28.5210943062 24.9656241810 23.7804674726
27.0000000000 25.4072436779 26.5833798150 27.7595159521 24.2311075408 23.0549714037
28.0000000000 24.5661085817 25.7292814091 26.8924542365 23.4029357544 22.2397629270
29.0000000000 23.6338945673 24.7800036341 25.9261127008 22.4877855005 21.3416764338
30.0000000000 22.6190929087 23.7439618222 24.8688307357 21.4942239951 20.3693550816
31.0000000000 21.5319343029 22.6313881257 23.7308419486 20.4324804800 19.3330266572
32.0000000000 20.3841081490 21.4540506706 22.5239931922 19.3141656274 18.2442231059
33.0000000000 19.1884396635 20.2249259729 21.2614122823 18.1519533541 17.1154670447
34.0000000000 17.9585406490 18.9578493209 19.9571579928 16.9592319772 15.9599233053
35.0000000000 16.7084496394 17.6671472390 18.6258448385 15.7497520399 14.7910544404
36.0000000000 15.4522681731 16.3672712456 17.2822743181 14.5372651006 13.6222620281
37.0000000000 14.2038148317 15.0724440290 15.9410732264 13.3351856344 12.4665564371
38.0000000000 12.9763040144 13.7963319025 14.6163597907 12.1562761263 11.3362482382
39.0000000000 11.7820576130 12.5517473555 13.3214370980 11.0123678705 10.2426781280
40.0000000000 10.6322624231 11.3503966626 12.0685309020 9.9141281836 9.1959939441
41.0000000000 9.5367720745 10.2026728586 10.8685736427 8.8708712904 8.2049705064
42.0000000000 8.5039584952 9.1174968882 9.7310352811 7.8904201022 7.2768817092
43.0000000000 7.5406128894 8.1022084848 8.6638040802 6.9790172940 6.4174216987
44.0000000000 6.6518937452 7.1625036573 7.6731135694 6.1412838331 5.6306739210
45.0000000000 5.8413208293 6.3024201093 6.7635193893 5.3802215494 4.9191222694
46.0000000000 5.1108101010 5.5243636284 5.9379171559 4.6972565735 4.2837030460
47.0000000000 4.4607454471 4.8291719603 5.1975984734 4.0923189339 3.7238924208
48.0000000000 3.8900828822 4.2162133223 4.5423437624 3.5639524421 3.2378220020
49.0000000000 3.3964820144 3.6835120946 3.9705421747 3.1094519343 2.8224218542
50.0000000000 2.9764585481 3.2278969327 3.4793353172 2.7250201635 2.4735817789
51.0000000000 2.6255531563 2.8451636527 3.0647741491 2.4059426598 2.1863321634
52.0000000000 2.3385109784 2.5302468215 2.7219826646 2.1467751352 1.9550392921
53.0000000000 2.1094653990 2.2773896870 2.4453139749 1.9415411111 1.7736168231
