# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 16.4581004327 17.4208827672 18.3836651017 15.4953180982 14.5325357636
1.0000000000 16.4760757692 17.4370332598 18.3979907504 15.5151182786 14.5541607880
2.0000000000 16.5296146635 17.4851818812 18.4407490990 15.5740474457 14.6184802280
3.0000000000 16.6175588462 17.5644241272 18.5112894081 15.6706935652 14.7238282842
4.0000000000 16.7379916346 17.6732499476 18.6085082606 15.8027333216 14.8674750086
5.0000000000 16.8882575721 17.8095471051 18.7308366380 15.9669680392 15.0456785062
6.0000000000 17.0649857212 17.9705948958 18.8762040705 16.1593765465 15.2537673718
7.0000000000 17.2641169952 18.1530590207 19.0420010462 16.3751749697 15.4862329442
8.0000000000 17.4809340385 18.3529790204 19.2250240024 16.6088890565 15.7368440745
9.0000000000 17.7100968269 18.5657612747 19.4214257226 16.8544323791 15.9987679313
10.0000000000 17.9456873558 18.7861751000 19.6266628443 17.1051996115 16.2647118672
11.0000000000 18.1812679808 19.0083657755 19.8354635702 17.3541701861 16.5270723914
12.0000000000 18.4099602163 19.2258930993 20.0418259822 17.5940273334 16.7780944505
13.0000000000 18.6245482692 19.4318058069 20.2390633445 17.8172907316 17.0100331940
14.0000000000 18.8176105288 19.6187593194 20.4199081099 18.0164617383 17.2153129478
15.0000000000 18.9816770913 19.7791763373 20.5766755832 18.1841778454 17.3866785994
16.0000000000 19.1094087500 19.9054467664 20.7014847829 18.3133707336 17.5173327171
17.0000000000 19.1937932452 19.9901574739 20.7865217026 18.3974290165 17.6010647878
18.0000000000 19.2283392548 20.0263249550 20.8243106552 18.4303535546 17.6323678544
19.0000000000 19.2072702404 20.0076318349 20.8079934295 18.4069086458 17.6065470513
20.0000000000 19.1256933413 19.9286327438 20.7315721462 18.3227539389 17.5198145365
21.0000000000 18.9797456971 19.7849320242 20.5901183513 18.1745593700 17.3693730429
22.0000000000 18.7667060096 19.5733165853 20.3799271610 17.9600954339 17.1534848583
23.0000000000 18.4850711298 19.2918471043 20.0986230789 17.6782951553 16.8715191807
24.0000000000 18.1345983654 18.9399090645 19.7452197636 17.3292876663 16.5239769672
25.0000000000 17.7163149279 18.5182239569 19.3201329858 16.9144058989 16.1124968699
26.0000000000 17.2324957933 18.0288274661 18.8251591389 16.4361641204 15.6398324476
27.0000000000 16.6866139423 17.4750172783 18.2634206143 15.8982106063 15.1098072703
28.0000000000 16.0832649760 16.8612735408 17.6392821057 15.3052564111 14.5272478462
29.0000000000 15.4280650240 16.1931530132 16.9582410023 14.6629770349 13.8978890458
30.0000000000 14.7275276202 15.4771624744 16.2267973287 13.9778927659 13.2282579117
31.0000000000 13.9889133413 14.7206049349 15.4522965285 13.2572217477 12.5255301541
32.0000000000 13.2200666827 13.9314123736 14.6427580645 12.5087209918 11.7973753009
33.0000000000 12.4292297837 13.1179564559 13.8066831282 11.7405031114 11.0517764391
34.0000000000 11.6248548798 12.2888578914 12.9528609030 10.9608518682 10.2968488566
35.0000000000 10.8154104904 11.4527888415 12.0901671926 10.1780321393 9.5406537881
36.0000000000 10.0091901707 10.6182774135 11.2273646564 9.4001029278 8.7910156849
37.0000000000 9.2141402812 9.7935318271 10.3729233730 8.6347487354 8.0553571895
38.0000000000 8.4376982452 8.9862733461 9.5348484470 7.8891231443 7.3405480434
39.0000000000 7.6866583125 8.2035976199 8.7205369272 7.1697190051 6.6527796978
40.0000000000 6.9670601466 7.4518574227 7.9366546988 6.4822628705 5.9974655944
41.0000000000 6.2841056611 6.7365741992 7.1890427374 5.8316371229 5.3791685847
42.0000000000 5.6421013942 6.0623749316 6.4826484689 5.2218278569 4.8015543196
