# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 103.9128600962 107.8001978345 111.6875355728 100.0255223578 96.1381846195
1.0000000000 103.7760338462 107.6564403559 111.5368468657 99.8956273364 96.0152208266
2.0000000000 103.3647265865 107.2244890109 111.0842514352 99.5049641622 95.6452017379
3.0000000000 102.6765526683 106.5023849478 110.3282172274 98.8507203887 95.0248881092
4.0000000000 101.7078206250 105.4871292505 109.2664378761 97.9285119995 94.1492033739
5.0000000000 100.4539445192 104.1750541907 107.8961638622 96.7328348478 93.0117251763
6.0000000000 98.9100938462 102.5624269140 106.2147599818 95.2577607783 91.6054277105
7.0000000000 97.0720084375 100.6462126415 104.2204168455 93.4978042335 89.9236000295
8.0000000000 94.9370331490 98.4250667110 101.9131002730 91.4489995871 87.9609660251
9.0000000000 92.5052342548 95.9003815670 99.2955288792 89.1100869426 85.7149396304
10.0000000000 89.7805722596 93.0774266888 96.3742811180 86.4837178304 83.1868634013
11.0000000000 86.7719634615 89.9663607667 93.1607580718 83.5775661564 80.3831688513
12.0000000000 83.4940997356 86.5830197088 89.6719396820 80.4051797623 77.3162597891
13.0000000000 79.9679042067 82.9493443800 85.9307845533 76.9864640335 74.0050238602
14.0000000000 76.2205232452 79.0933555620 81.9661878788 73.3476909284 70.4748586116
15.0000000000 72.2848216106 75.0486356886 77.8124497666 69.5210075325 66.7571934545
16.0000000000 68.1984188702 70.8533639636 73.5083090570 65.5434737768 62.8885286834
17.0000000000 64.0023726923 66.5489990681 69.0956254439 61.4557463165 58.9091199407
18.0000000000 59.7396634856 62.1787718957 64.6178803058 57.3005550755 54.8614466654
19.0000000000 55.4536642788 57.7861730513 60.1186818238 53.1211555064 50.7886467339
20.0000000000 51.1867575962 53.4135893657 55.6404211353 48.9599258266 46.7330940570
21.0000000000 46.9792290625 49.1012299523 51.2232308422 44.8572281727 42.7352272828
22.0000000000 42.8684807212 44.8863744807 46.9042682403 40.8505869616 38.8326932020
23.0000000000 38.8885658654 40.8029494607 42.7173330560 36.9741822701 35.0597986747
24.0000000000 35.0699524279 36.8813312381 38.6927100483 33.2585736177 31.4471948075
25.0000000000 31.4394210577 33.1482806444 34.8571402311 29.7305614710 28.0217018842
26.0000000000 28.0199852163 29.6268890616 31.2337929068 26.4130813711 24.8061775259
27.0000000000 24.8307666827 26.3364678107 27.8421689387 23.3250655547 21.8193644267
28.0000000000 21.8867863221 23.2923372188 24.6978881155 20.4812354254 19.0756845287
29.0000000000 19.1987073077 20.5055585927 21.8124098776 17.8918560227 16.5850047378
30.0000000000 16.7725826442 17.9826559370 19.1927292298 15.5625093514 14.3524360587
31.0000000000 14.6096845673 15.7254162503 16.8411479333 13.4939528843 12.3782212013
32.0000000000 12.7064921442 13.7308447400 14.7551973359 11.6821395484 10.6577869526
33.0000000000 11.0548834111 11.9913268199 12.9277702288 10.1184400022 9.1819965933
34.0000000000 9.6425456130 10.4950138943 11.3474821757 8.7900773316 7.9376090503
35.0000000000 8.4535910913 9.2264240950 9.9992570986 7.6807580877 6.9079250840
36.0000000000 7.4693249808 8.1671998234 8.8650746660 6.7714501381 6.0735752955
37.0000000000 6.6691036659 7.2969680467 7.9248324276 6.0412392850 5.4133749042
38.0000000000 6.0312036298 6.5942163467 7.1572290636 5.4681909129 4.9051781960
39.0000000000 5.5336318558 6.0371156212 6.5405993866 5.0301480904 4.5266643250
40.0000000000 5.1548188702 5.6042283139 6.0536377577 4.7054094265 4.2559999827
41.0000000000 4.8741611683 5.2750656100 5.6759700517 4.4732567265 4.0723522848
42.0000000000 4.6724033558 5.0304796569 5.3885559579 4.3143270547 3.9562507536
43.0000000000 4.5318758510 4.8529013519 5.1739268528 4.2108503501 3.8898248492
44.0000000000 4.4366186130 4.7264474865 5.0162763600 4.1467897395 3.8569608660
45.0000000000 4.3724289543 4.6369273401 4.9014257258 4.1079305686 3.8434321828
46.0000000000 4.3268669567 4.5717841032 4.8167012496 4.0819498103 3.8370326638
47.0000000000 4.2892427716 4.5200113393 4.7507799070 4.0584742040 3.8277056363
48.0000000000 4.2505982428 4.4720910240 4.6935838052 4.0291054616 3.8076126803
49.0000000000 4.2036847885 4.4199889424 4.6362930964 3.9873806345 3.7710764805
50.0000000000 4.1429332981 4.3572064764 4.5714796547 3.9286601198 3.7143869414
51.0000000000 4.0644091274 4.2788482553 4.4932873832 3.8499699995 3.6355308716
52.0000000000 3.9657444712 4.1816542306 4.3975639901 3.7498347117 3.5339249522
53.0000000000 3.8460422380 4.0639636777 4.2818851173 3.6281207983 3.4101993586
54.0000000000 3.7057467740 3.9256080723 4.1454693705 3.4858854758 3.2660241776
55.0000000000 3.5464789207 3.7677421027 3.9890052848 3.3252157386 3.1039525566
56.0000000000 3.3708379567 3.5926303855 3.8144228143 3.1490455279 2.9272530991
57.0000000000 3.1821755817 3.4034035157 3.6246314498 2.9609476477 2.7397197137
58.0000000000 2.9843544111 3.2037999528 3.4232454945 2.7649088693 2.5454633276
59.0000000000 2.7815051034 2.9979095601 3.2143140169 2.5651006466 2.3486961899
60.0000000000 2.5777985120 2.7899347181 3.0020709241 2.3656623060 2.1535260999
61.0000000000 2.3772487740 2.5839834256 2.7907180772 2.1705141225 1.9637794709
62.0000000000 2.1835560048 2.3839033019 2.5842505990 1.9832087077 1.7828614107
63.0000000000 1.9999956418 2.1931618627 2.3863280836 1.8068294210 1.6136632001
64.0000000000 1.8293506683 2.0147693902 2.2001881122 1.6439319463 1.4585132243
65.0000000000 1.6738826514 1.8512398802 2.0285971090 1.4965254227 1.3191681939
66.0000000000 1.5353307139 1.7045791573 1.8738276006 1.3660822706 1.1968338273
67.0000000000 1.4149293404 1.5762908116 1.7376522828 1.2535678692 1.0922063979
68.0000000000 1.3134350413 1.4673902238 1.6213454062 1.1594798589 1.0055246765
69.0000000000 1.2311554204 1.3784198928 1.5256843651 1.0838909481 0.9366264758
70.0000000000 1.1679752791 1.3094620957 1.4509489123 1.0264884625 0.8850016459
71.0000000000 1.1233795483 1.2601489898 1.3969184312 0.9866101069 0.8498406654
72.0000000000 1.0964742212 1.2296741417 1.3628740622 0.9632743006 0.8300743801
73.0000000000 1.0860093815 1.2168118759 1.3476143704 0.9552068870 0.8244043926
74.0000000000 1.0904086625 1.2199504042 1.3494921460 0.9608669208 0.8313251790
75.0000000000 1.1078101558 1.2371433367 1.3664765176 0.9784769749 0.8491437940
76.0000000000 1.1361213022 1.2661804188 1.3962395355 1.0060621855 0.8760030689
77.0000000000 1.1730876786 1.3046728836 1.4362580886 1.0415024736 0.9099172686
78.0000000000 1.2163732841 1.3501482616 1.4839232390 1.0825983067 0.9488233292
79.0000000000 1.2636464070 1.4001461227 1.5366458384 1.1271466913 0.9906469756
80.0000000000 1.3126646635 1.4523083328 1.5919520022 1.1730209941 1.0333773247
81.0000000000 1.3613507524 1.5044561819 1.6475616113 1.2182453229 1.0751398935
82.0000000000 1.4078540553 1.5546505407 1.7014470261 1.2610575699 1.1142610844
83.0000000000 1.4505922115 1.6012310087 1.7518698059 1.2999534143 1.1493146171
84.0000000000 1.4882727668 1.6428348380 1.7973969092 1.3337106956 1.1791486244
85.0000000000 1.5198947981 1.6783963373 1.8368978765 1.3613932589 1.2028917197
86.0000000000 1.5447351250 1.7071313446 1.8695275641 1.3823389054 1.2199426859
87.0000000000 1.5623226562 1.7285107538 1.8946988514 1.3961345587 1.2299464611
88.0000000000 1.5724075024 1.7422292654 1.9120510285 1.4025857394 1.2327639763
89.0000000000 1.5749292404 1.7481736079 1.9214179753 1.4016848729 1.2284405055
90.0000000000 1.5699873798 1.7463934759 1.9227995719 1.3935812837 1.2171751877
91.0000000000 1.5578183942 1.7370791276 1.9163398610 1.3785576608 1.1992969274
92.0000000000 1.5387776058 1.7205439970 1.9023103881 1.3570112146 1.1752448234
93.0000000000 1.5133276707 1.6972144512 1.8811012317 1.3294408902 1.1455541096
94.0000000000 1.4820301442 1.6676222662 1.8532143883 1.2964380222 1.1108459002
95.0000000000 1.4455389808 1.6323994165 1.8192598521 1.2586785451 1.0718181094
96.0000000000 1.4045933144 1.5922721852 1.7799510560 1.2169144436 1.0292355728
97.0000000000 1.3600071257 1.5480518183 1.7360965109 1.1719624331 0.9839177406
98.0000000000 1.3126550440 1.5006212277 1.6885874114 1.1246888603 0.9367226766
99.0000000000 1.2634538260 1.4509167966 1.6383797673 1.0759908553 0.8885278846
100.0000000000 1.2133393625 1.3999053030 1.5864712434 1.0267734220 0.8402074816
101.0000000000 1.1632412077 1.3485577469 1.5338742862 0.9779246684 0.7926081292
102.0000000000 1.1140559981 1.2978214928 1.4815869876 0.9302905033 0.7465250086
103.0000000000 1.0666216288 1.2485927467 1.4305638645 0.8846505110 0.7026793932
104.0000000000 1.0216939380 1.2016908737 1.3816878093 0.8416970023 0.6617000666
105.0000000000 0.9799282635 1.1578375419 1.3357468203 0.8020189850 0.6241097066
106.0000000000 0.9418657240 1.1176404412 1.2934151584 0.7660910068 0.5903162896
107.0000000000 0.9079256964 1.0815832773 1.2552408581 0.7342681155 0.5606105347
108.0000000000 0.8784036490 1.0500211613 1.2216386736 0.7067861367 0.5351686245
109.0000000000 0.8534743555 1.0231819254 1.1928894952 0.6837667857 0.5140592159
110.0000000000 0.8331991334 1.0011719346 1.1691447358 0.6652263322 0.4972535310
111.0000000000 0.8175362644 0.9839855013 1.1504347382 0.6510870275 0.4846377906
112.0000000000 0.8063533207 0.9715168019 1.1366802831 0.6411898394 0.4760263582
113.0000000000 0.7994403339 0.9635730013 1.1277056687 0.6353076665 0.4711749991
114.0000000000 0.7965232524 0.9598884068 1.1232535613 0.6331580980 0.4697929435
115.0000000000 0.7972766123 0.9601378437 1.1229990751 0.6344153808 0.4715541494
116.0000000000 0.8013353752 0.9639496528 1.1265639304 0.6387210976 0.4761068201
117.0000000000 0.8083057793 0.9709179337 1.1335300880 0.6456936250 0.4830814706
