# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 111.2677574279 116.3166676562 121.3655778844 106.2188471996 101.1699369713
1.0000000000 111.2815796394 116.3222993544 121.3630190694 106.2408599244 101.2001402095
2.0000000000 111.3008744231 116.3169877460 121.3331010689 106.2847611002 101.2686477773
3.0000000000 111.2616452404 116.2366759492 121.2117066580 106.2866145316 101.3115838228
4.0000000000 111.0651297356 115.9824682474 120.8998067591 106.1477912238 101.2304527120
5.0000000000 110.5886888702 115.4315719068 120.2744549434 105.7458058336 100.9029227970
6.0000000000 109.6991475481 114.4506343397 119.2021211314 104.9476607564 100.1961739648
7.0000000000 108.2671753606 112.9101427207 117.5531100808 103.6242080004 98.9812406403
8.0000000000 106.1809892548 110.6982062315 115.2154232082 101.6637722781 97.1465553015
9.0000000000 103.3581174038 107.7323618512 112.1066062986 98.9838729565 94.6096285091
10.0000000000 99.7540345433 103.9682872665 108.1825399897 95.5397818201 91.3255290969
11.0000000000 95.3670335337 99.4047652584 103.4424969832 91.3293018089 87.2915700841
12.0000000000 90.2391192067 94.0846332108 97.9301472149 86.3936052026 82.5480911985
13.0000000000 84.4531567548 88.0919949006 91.7308330464 80.8143186090 77.1754804632
14.0000000000 78.1268311779 81.5462154661 84.9655997543 74.7074468897 71.2880626015
15.0000000000 71.4042774279 74.5935545440 77.7828316602 68.2150003117 65.0257231956
16.0000000000 64.4463134615 67.3973789331 70.3484444048 61.4952479899 58.5441825183
17.0000000000 57.4202594952 60.1279300216 62.8356005480 54.7125889688 52.0049184424
18.0000000000 50.4901937740 52.9525078148 55.4148218555 48.0278797333 45.5655656925
19.0000000000 43.8083551923 46.0267776972 48.2452002022 41.5899326874 39.3715101824
20.0000000000 37.5081750000 39.4876980157 41.4672210314 35.5286519843 33.5491289686
21.0000000000 31.6992163221 33.4483495710 35.1974828199 29.9500830732 28.2009498243
22.0000000000 26.4640907692 27.9947384385 29.5253861079 24.9334430999 23.4027954306
23.0000000000 21.8572642788 23.1844921976 24.5117201163 20.5300363601 19.2028084414
24.0000000000 17.9055418510 19.0472337472 20.1889256435 16.7638499547 15.6221580584
25.0000000000 14.6099456971 15.5863387945 16.5627318919 13.6335525997 12.6571595023
26.0000000000 11.9486695962 12.7817453243 13.6148210525 11.1155938680 10.2825181398
27.0000000000 9.8807797933 10.5934605550 11.3061413168 9.1680990315 8.4554182697
28.0000000000 8.3503600529 8.9654634716 9.5805668904 7.7352566341 7.1201532154
29.0000000000 7.2908138149 7.8297829664 8.3687521180 6.7518446634 6.2128755118
30.0000000000 6.6290865192 7.1106901826 7.5922938459 6.1474828559 5.6658791926
31.0000000000 6.2896036466 6.7289879847 7.1683723227 5.8502193086 5.4108349705
32.0000000000 6.1977693389 6.6062261126 7.0146828863 5.7893125653 5.3808557916
33.0000000000 6.2829126851 6.6684232040 7.0539337229 5.8974021662 5.5118916473
34.0000000000 6.4806160312 6.8488717595 7.2171274878 6.1123603030 5.7441045747
35.0000000000 6.7344020889 7.0898697988 7.4453375086 6.3789343791 6.0234666693
36.0000000000 6.9967956683 7.3434962902 7.6901969122 6.6500950463 6.3033944243
37.0000000000 7.2298080072 7.5716577635 7.9135075198 6.8879582509 6.5461084947
38.0000000000 7.4049167837 7.7456526174 8.0863884511 7.0641809499 6.7234451162
39.0000000000 7.5026295096 7.8454680841 8.1883066585 7.1597909352 6.8169523607
40.0000000000 7.5117242692 7.8589621393 8.2062000094 7.1644863992 6.8172485291
41.0000000000 7.4282615361 7.7809888452 8.1337161544 7.0755342269 6.7228069177
42.0000000000 7.2544525913 7.6124606997 7.9704688080 6.8964444830 6.5384363747
43.0000000000 6.9974605889 7.3593345309 7.7212084729 6.6355866470 6.2737127050
44.0000000000 6.6681965288 7.0315361798 7.3948758307 6.3048568779 5.9415172270
45.0000000000 6.2801611490 6.6418695465 7.0035779440 5.9184527516 5.5567443541
46.0000000000 5.8483710264 6.2049604646 6.5615499027 5.4917815883 5.1351921502
47.0000000000 5.3883972716 5.7362811948 6.0841651179 5.0405133485 4.6926294254
48.0000000000 4.9155367452 5.2512885582 5.5870403712 4.5797849322 4.2440331191
49.0000000000 4.4441270312 4.7646961482 5.0852652651 4.1235579143 3.8029887974
50.0000000000 3.9870109784 4.2898912654 4.5927715525 3.6841306913 3.3812504042
51.0000000000 3.5551490673 3.8384993148 4.1218495622 3.2717988199 2.9884485724
52.0000000000 3.1573743029 3.4200909190 3.6828075351 2.8946576868 2.6319410706
53.0000000000 2.8002777452 3.0420211551 3.2837645650 2.5585343353 2.3167909254
54.0000000000 2.4882108317 2.7093863361 2.9305618404 2.2670353274 2.0458598231
55.0000000000 2.2233863678 2.4250788668 2.6267713658 2.0216938688 1.8200013698
56.0000000000 2.0060585216 2.1899202527 2.3737819837 1.8221967906 1.6383350596
57.0000000000 1.8347624351 2.0028543811 2.1709463271 1.6666704891 1.4985785431
58.0000000000 1.7065920841 1.8611871345 2.0157821850 1.5519970337 1.3974019833
59.0000000000 1.6174991659 1.7608680207 1.9042368756 1.4741303110 1.3307614561
60.0000000000 1.5625954111 1.6968100318 1.8310246525 1.4283807903 1.2941661696
61.0000000000 1.5364449880 1.6632395773 1.7900341666 1.4096503987 1.2828558093
62.0000000000 1.5333358077 1.6540514630 1.7747671183 1.4126201524 1.2919044971
63.0000000000 1.5475225000 1.6631369846 1.7787514693 1.4319080154 1.3162935307
64.0000000000 1.5734355313 1.6846559141 1.7958762970 1.4622151484 1.3509947655
65.0000000000 1.6058544663 1.7132385323 1.8206225982 1.4984704004 1.3910863345
66.0000000000 1.6400453149 1.7441189641 1.8481926132 1.5359716657 1.4318980166
67.0000000000 1.6718622452 1.7732073681 1.8745524911 1.5705171223 1.4691719993
68.0000000000 1.6978167163 1.7971131205 1.8964095246 1.5985203122 1.4992239081
69.0000000000 1.7151160505 1.8131309222 1.9111457939 1.6171011788 1.5190863070
70.0000000000 1.7216747885 1.8192059849 1.9167371813 1.6241435920 1.5266123956
71.0000000000 1.7161015457 1.8138920627 1.9116825798 1.6183110286 1.5205205116
72.0000000000 1.6976652356 1.7963140879 1.8949629403 1.5990163832 1.5003675309
73.0000000000 1.6662431635 1.7661350443 1.8660269251 1.5663512827 1.4664594019
74.0000000000 1.6222548630 1.7235217141 1.8247885653 1.5209880118 1.4197211607
75.0000000000 1.5665850649 1.6691017038 1.7716183426 1.4640684260 1.3615517872
76.0000000000 1.5004995865 1.6039065187 1.7073134509 1.3970926544 1.2936857222
77.0000000000 1.4255573678 1.5293018496 1.6330463314 1.3218128860 1.2180684042
78.0000000000 1.3435228990 1.4469095748 1.5502962505 1.2401362233 1.1367495476
79.0000000000 1.2562816800 1.3585267447 1.4607718094 1.1540366154 1.0517915507
80.0000000000 1.1657621272 1.2660460017 1.3663298763 1.0654782526 0.9651943780
81.0000000000 1.0738658053 1.1713827361 1.2688996670 0.9763488745 0.8788319436
82.0000000000 0.9824074055 1.0764100207 1.1704126358 0.8884047904 0.7944021752
83.0000000000 0.8930659308 0.9829047778 1.0727436249 0.8032270837 0.7133882367
84.0000000000 0.8073464385 0.8925042869 0.9776621354 0.7221885900 0.6370307416
85.0000000000 0.7265526135 0.8066741067 0.8867955998 0.6464311203 0.5663096271
86.0000000000 0.6517690226 0.7266859049 0.8016027871 0.5768521403 0.5019352581
87.0000000000 0.5838520534 0.6536037194 0.7233553855 0.5141003873 0.4443487212
88.0000000000 0.5234284101 0.5882762796 0.6531241492 0.4585805406 0.3937326710
89.0000000000 0.4708999005 0.5313316028 0.5917633051 0.4104681982 0.3500364959
90.0000000000 0.4264535038 0.4831698824 0.5398862609 0.3697371253 0.3130207467
91.0000000000 0.3900756606 0.4439517808 0.4978279011 0.3361995403 0.2823234201
92.0000000000 0.3615699995 0.4135847973 0.4655995950 0.3095552018 0.2575404041
93.0000000000 0.3405777284 0.3917186238 0.4428595192 0.2894368329 0.2382959375
94.0000000000 0.3266000346 0.3777635338 0.4289270329 0.2754365355 0.2242730363
95.0000000000 0.3190219070 0.3709369297 0.4228519524 0.2671068843 0.2151918615
96.0000000000 0.3171366815 0.3703268326 0.4235169837 0.2639465304 0.2107563792
97.0000000000 0.3201709065 0.3749545212 0.4297381359 0.2653872918 0.2106036771
98.0000000000 0.3273086700 0.3838238469 0.4403390238 0.2707934930 0.2142783161
99.0000000000 0.3377150570 0.3959556884 0.4541963198 0.2794744256 0.2212337942
100.0000000000 0.3505580483 0.4104109544 0.4702638605 0.2907051422 0.2308522362
101.0000000000 0.3650284466 0.4263065233 0.4875845999 0.3037503700 0.2424722933
102.0000000000 0.3803574579 0.4428270230 0.5052965881 0.3178878928 0.2554183277
103.0000000000 0.3958315524 0.4592338204 0.5226360884 0.3324292844 0.2690270164
104.0000000000 0.4108045913 0.4748718893 0.5389391872 0.3467372934 0.2826699955
105.0000000000 0.4247070459 0.4891746405 0.5536422350 0.3602394514 0.2957718568
106.0000000000 0.4370523298 0.5016666745 0.5662810192 0.3724379851 0.3078236404
107.0000000000 0.4474405514 0.5119647151 0.5764888788 0.3829163878 0.3183922241
108.0000000000 0.4555596601 0.5197765676 0.5839934751 0.3913427526 0.3271258451
109.0000000000 0.4611844048 0.5248983863 0.5886123677 0.3974704234 0.3337564419
110.0000000000 0.4641733317 0.5272104296 0.5902475275 0.4011362339 0.3380991360
111.0000000000 0.4644640377 0.5266714131 0.5888787884 0.4022566624 0.3400492870
112.0000000000 0.4620671192 0.5233118003 0.5845564813 0.4008224382 0.3395777571
113.0000000000 0.4570589707 0.5172261936 0.5773934166 0.3968917477 0.3367245248
114.0000000000 0.4495737594 0.5085650329 0.5675563065 0.3905824858 0.3315912122
115.0000000000 0.4397948209 0.4975258590 0.5552568971 0.3820637828 0.3243327447
116.0000000000 0.4279457642 0.4843444135 0.5407430628 0.3715471149 0.3151484656
117.0000000000 0.4142814514 0.4692857102 0.5242899689 0.3592771927 0.3042729339
118.0000000000 0.3990790815 0.4526352926 0.5061915038 0.3455228704 0.2919666592
119.0000000000 0.3826296344 0.4346909646 0.4867522948 0.3305683042 0.2785069740
120.0000000000 0.3652297596 0.4157550553 0.4662803511 0.3147044639 0.2641791682
121.0000000000 0.3471743663 0.3961274418 0.4450805173 0.2982212909 0.2492682154
122.0000000000 0.3287499642 0.3760994056 0.4234488470 0.2814005228 0.2340510814
123.0000000000 0.3102288923 0.3559484437 0.4016679951 0.2645093409 0.2187897896
124.0000000000 0.2918645841 0.3359340845 0.3800035848 0.2477950838 0.2037255835
125.0000000000 0.2738877644 0.3162946670 0.3587015695 0.2314808619 0.1890739593
126.0000000000 0.2565037240 0.2972451733 0.3379866225 0.2157622748 0.1750208255
127.0000000000 0.2398905796 0.2789759341 0.3180612886 0.2008052251 0.1617198705
128.0000000000 0.2241984719 0.2616521849 0.2991058979 0.1867447589 0.1492910459
129.0000000000 0.2095496726 0.2454143826 0.2812790926 0.1736849626 0.1378202526
130.0000000000 0.1960393885 0.2303789604 0.2647185324 0.1616998165 0.1273602445
131.0000000000 0.1837372455 0.2166394749 0.2495417043 0.1508350160 0.1179327866
132.0000000000 0.1726892583 0.2042678411 0.2358464239 0.1411106756 0.1095320928
133.0000000000 0.1629201655 0.1933154290 0.2237106925 0.1325249020 0.1021296385
134.0000000000 0.1544359601 0.1838138439 0.2131917277 0.1250580763 0.0956801925
135.0000000000 0.1472265186 0.1757753546 0.2043241906 0.1186776826 0.0901288466
136.0000000000 0.1412681702 0.1691930785 0.1971179868 0.1133432618 0.0854183535
137.0000000000 0.1365261223 0.1640412450 0.1915563677 0.1090109996 0.0814958768
138.0000000000 0.1329566602 0.1602760488 0.1875954375 0.1056372715 0.0783178829
139.0000000000 0.1305090199 0.1578373273 0.1851656346 0.1031807126 0.0758524052
140.0000000000 0.1291269400 0.1566513230 0.1841757061 0.1016025569 0.0740781738
141.0000000000 0.1287498441 0.1566340850 0.1845183258 0.1008656032 0.0729813623
142.0000000000 0.1293136995 0.1576951542 0.1860766089 0.1009322448 0.0725507901
143.0000000000 0.1307515314 0.1597408588 0.1887301863 0.1017622040 0.0727728765
144.0000000000 0.1329936567 0.1626768484 0.1923600400 0.1033104650 0.0736272733
145.0000000000 0.1359677593 0.1664097890 0.1968518188 0.1055257295 0.0750836998
146.0000000000 0.1395987688 0.1708481357 0.2020975025 0.1083494019 0.0771000350
