# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 29.6201635577 31.0000350519 32.3799065461 28.2402920635 26.8604205693
1.0000000000 29.6245910337 31.0025272485 32.3804634634 28.2466548188 26.8687186039
2.0000000000 29.6373684375 31.0095764895 32.3817845415 28.2651603855 26.8929523335
3.0000000000 29.6569920433 31.0199051415 32.3828182398 28.2940789450 26.9311658468
4.0000000000 29.6809806971 31.0313937965 32.3818068959 28.3305675977 26.9801544984
5.0000000000 29.7059153125 31.0410968319 32.3762783513 28.3707337931 27.0355522737
6.0000000000 29.7274948077 31.0452661184 32.3630374290 28.4097234970 27.0919521863
7.0000000000 29.7406091587 31.0393901391 32.3381711196 28.4418281782 27.1430471977
8.0000000000 29.7394372596 31.0182523679 32.2970674761 28.4606221514 27.1818070431
9.0000000000 29.7175759856 30.9760228468 32.2344697080 28.4591291244 27.2006822631
10.0000000000 29.6682061538 30.9063882646 32.1445703754 28.4300240431 27.1918419323
11.0000000000 29.5843013462 30.8027319174 32.0211624886 28.3658707749 27.1474402037
12.0000000000 29.4588787500 30.6583630416 31.8578473331 28.2593944584 27.0599101669
13.0000000000 29.2852806490 30.4667897336 31.6482988181 28.1037715645 26.9222624800
14.0000000000 29.0574691827 30.2220136937 31.3865582046 27.8929246717 26.7283801607
15.0000000000 28.7703091587 29.9188239401 31.0673387216 27.6217943772 26.4732795957
16.0000000000 28.4198103606 29.5530586260 30.6863068915 27.2865620951 26.1533138297
17.0000000000 28.0032953846 29.1217984649 30.2403015451 26.8847923044 25.7662892241
18.0000000000 27.5194818750 28.6234735964 29.7274653178 26.4154901536 25.3114984322
19.0000000000 26.9684643269 28.0578729158 29.1472815047 25.8790557380 24.7896471492
20.0000000000 26.3516064423 27.4260566016 28.5005067609 25.2771562830 24.2027061237
21.0000000000 25.6713646154 26.7301944075 27.7890241996 24.6125348233 23.5537050311
22.0000000000 24.9310796875 25.9733714134 27.0156631393 23.8887879616 22.8464962357
23.0000000000 24.1347730048 25.1593870162 26.1840010275 23.1101589935 22.0855449821
24.0000000000 23.2869798317 24.2925903449 25.2982008581 22.2813693186 21.2757588054
25.0000000000 22.3926399519 23.3777720586 24.3629041653 21.4075078452 20.4223757385
26.0000000000 21.4570548798 22.4201187815 23.3831826832 20.4939909781 19.5309270764
27.0000000000 20.4858930288 21.4252202035 22.3645473782 19.5465658542 18.6072386795
