-90	  16.63	   2.60	   3.47	
-89	  17.74	   3.25	   3.47	
-88	  18.91	   4.00	   3.47	
-87	  20.13	   4.84	   3.47	
-86	  21.40	   5.75	   3.47	
-85	  22.71	   6.75	   3.47	
-84	  24.06	   7.81	   3.47	
-83	  25.44	   8.94	   3.47	
-82	  26.86	  10.11	   3.47	
-81	  28.31	  11.34	   3.47	
-80	  29.78	  12.60	   3.47	
-79	  31.26	  13.90	   3.47	
-78	  32.76	  15.22	   3.47	
-77	  34.27	  16.55	   3.47	
-76	  35.78	  17.90	   3.47	
-75	  37.29	  19.25	   3.47	
-74	  38.79	  20.59	   3.47	
-73	  40.29	  21.92	   3.47	
-72	  41.77	  23.24	   3.47	
-71	  43.23	  24.53	   3.47	
-70	  44.67	  25.79	   3.47	
-69	  46.09	  27.02	   3.47	
-68	  47.47	  28.21	   3.47	
-67	  48.83	  29.35	   3.47	
-66	  50.14	  30.44	   3.47	
-65	  51.42	  31.48	   3.47	
-64	  52.65	  32.47	   3.47	
-63	  53.83	  33.39	   3.47	
-62	  54.97	  34.25	   3.47	
-61	  56.05	  35.04	   3.47	
-60	  57.08	  35.76	   3.47	
-59	  58.05	  36.41	   3.47	
-58	  58.96	  36.98	   3.47	
-57	  59.82	  37.47	   3.47	
-56	  60.61	  37.89	   3.47	
-55	  61.33	  38.23	   3.47	
-54	  62.00	  38.49	   3.47	
-53	  62.59	  38.67	   3.47	
-52	  63.12	  38.76	   3.47	
-51	  63.57	  38.77	   3.47	
-50	  63.96	  38.70	   3.47	
-49	  64.28	  38.54	   3.47	
-48	  64.52	  38.31	   3.47	
-47	  64.70	  37.99	   3.47	
-46	  64.80	  37.60	   3.47	
-45	  64.83	  37.12	   3.47	
-44	  64.79	  36.57	   3.47	
-43	  64.68	  35.94	   3.47	
-42	  64.50	  35.24	   3.47	
-41	  64.24	  34.46	   3.47	
-40	  63.92	  33.62	   3.47	
-39	  63.53	  32.71	   3.47	
-38	  63.06	  31.75	   3.47	
-37	  62.53	  30.72	   3.47	
-36	  61.94	  29.63	   3.47	
-35	  61.28	  28.50	   3.47	
-34	  60.55	  27.32	   3.47	
-33	  59.77	  26.10	   3.47	
-32	  58.92	  24.84	   3.47	
-31	  58.02	  23.55	   3.47	
-30	  57.06	  22.23	   3.47	
-29	  56.05	  20.90	   3.47	
-28	  54.99	  19.55	   3.47	
-27	  53.88	  18.20	   3.47	
-26	  52.72	  16.84	   3.47	
-25	  51.52	  15.50	   3.47	
-24	  50.28	  14.16	   3.47	
-23	  49.00	  12.85	   3.47	
-22	  47.69	  11.57	   3.47	
-21	  46.36	  10.32	   3.47	
-20	  44.99	   9.12	   3.47	
-19	  43.61	   7.97	   3.47	
-18	  42.21	   6.88	   3.47	
-17	  40.79	   5.86	   3.47	
-16	  39.36	   4.91	   3.47	
-15	  37.93	   4.03	   3.47	
-14	  36.49	   3.25	   3.47	
-13	  35.06	   2.57	   3.47	
-12	  33.64	   1.98	   3.47	
-11	  32.23	   1.50	   3.47	
-10	  30.84	   1.13	   3.47	
-9	  29.46	   0.87	   3.47	
-8	  28.11	   0.73	   3.47	
-7	  26.79	   0.72	   3.47	
-6	  25.51	   0.83	   3.47	
-5	  24.26	   1.06	   3.47	
-4	  23.05	   1.42	   3.47	
-3	  21.89	   1.91	   3.47	
-2	  20.77	   2.53	   3.47	
-1	  19.71	   3.26	   3.47	
 0	  18.70	   4.12	   3.47	
 1	  17.74	   5.10	   3.47	
 2	  16.85	   6.19	   3.47	
 3	  16.01	   7.38	   3.47	
 4	  15.24	   8.69	   3.47	
 5	  14.54	  10.08	   3.47	
 6	  13.90	  11.57	   3.47	
 7	  13.32	  13.14	   3.47	
 8	  12.81	  14.78	   3.47	
 9	  12.37	  16.49	   3.47	
10	  11.99	  18.26	   3.47	
11	  11.67	  20.07	   3.47	
12	  11.42	  21.92	   3.47	
13	  11.22	  23.80	   3.47	
14	  11.09	  25.70	   3.47	
15	  11.01	  27.61	   3.47	
16	  10.98	  29.52	   3.47	
17	  11.01	  31.43	   3.47	
18	  11.08	  33.31	   3.47	
19	  11.19	  35.17	   3.47	
20	  11.35	  36.99	   3.47	
21	  11.54	  38.77	   3.47	
22	  11.76	  40.50	   3.47	
23	  12.01	  42.17	   3.47	
24	  12.28	  43.77	   3.47	
25	  12.57	  45.30	   3.47	
26	  12.88	  46.74	   3.47	
27	  13.19	  48.10	   3.47	
28	  13.52	  49.37	   3.47	
29	  13.84	  50.54	   3.47	
30	  14.16	  51.62	   3.47	
31	  14.48	  52.58	   3.47	
32	  14.78	  53.44	   3.47	
33	  15.07	  54.18	   3.47	
34	  15.35	  54.80	   3.47	
35	  15.60	  55.31	   3.47	
36	  15.83	  55.70	   3.47	
37	  16.03	  55.97	   3.47	
38	  16.21	  56.11	   3.47	
39	  16.35	  56.14	   3.47	
40	  16.47	  56.03	   3.47	
41	  16.54	  55.81	   3.47	
42	  16.58	  55.47	   3.47	
43	  16.59	  55.00	   3.47	
44	  16.56	  54.42	   3.47	
45	  16.49	  53.72	   3.47	
46	  16.39	  52.90	   3.47	
47	  16.25	  51.98	   3.47	
48	  16.07	  50.95	   3.47	
49	  15.86	  49.82	   3.47	
50	  15.61	  48.58	   3.47	
51	  15.33	  47.26	   3.47	
52	  15.03	  45.85	   3.47	
53	  14.69	  44.35	   3.47	
54	  14.34	  42.78	   3.47	
55	  13.96	  41.14	   3.47	
56	  13.56	  39.44	   3.47	
57	  13.15	  37.68	   3.47	
58	  12.72	  35.88	   3.47	
59	  12.29	  34.04	   3.47	
60	  11.85	  32.17	   3.47	
61	  11.42	  30.28	   3.47	
62	  10.99	  28.38	   3.47	
63	  10.57	  26.48	   3.47	
64	  10.17	  24.58	   3.47	
65	   9.78	  22.70	   3.47	
66	   9.42	  20.85	   3.47	
67	   9.09	  19.03	   3.47	
68	   8.78	  17.25	   3.47	
69	   8.52	  15.53	   3.47	
70	   8.29	  13.88	   3.47	
71	   8.11	  12.29	   3.47	
72	   7.98	  10.78	   3.47	
73	   7.91	   9.36	   3.47	
74	   7.88	   8.03	   3.47	
75	   7.92	   6.80	   3.47	
76	   8.02	   5.68	   3.47	
77	   8.19	   4.67	   3.47	
78	   8.42	   3.78	   3.47	
79	   8.72	   3.01	   3.47	
80	   9.09	   2.36	   3.47	
81	   9.52	   1.83	   3.47	
82	  10.04	   1.42	   3.47	
83	  10.62	   1.15	   3.47	
84	  11.27	   1.00	   3.47	
85	  12.00	   0.97	   3.47	
86	  12.79	   1.07	   3.47	
87	  13.66	   1.28	   3.47	
88	  14.58	   1.61	   3.47	
89	  15.58	   2.05	   3.47	
90	  16.63	   2.60	   3.47	
