# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
117.0000000000 0.3735077005 0.5283941561 0.6832806116 0.2186212449 0.0637347893
118.0000000000 0.3608534041 0.5099437700 0.6590341360 0.2117630381 0.0626726722
119.0000000000 0.3494183279 0.4934690263 0.6375197248 0.2053676294 0.0613169310
120.0000000000 0.3393201267 0.4790876341 0.6188551415 0.1995526193 0.0597851118
121.0000000000 0.3306503642 0.4668774751 0.6031045861 0.1944232532 0.0581961423
122.0000000000 0.3234763897 0.4568822148 0.5902880399 0.1900705645 0.0566647394
123.0000000000 0.3178429149 0.4491159886 0.5803890624 0.1865698412 0.0552967674
124.0000000000 0.3137731685 0.4435665092 0.5733598500 0.1839798278 0.0541864871
125.0000000000 0.3112696901 0.4401977600 0.5691258299 0.1823416202 0.0534135504
126.0000000000 0.3103148505 0.4389513466 0.5675878427 0.1816783544 0.0530418582
127.0000000000 0.3108712175 0.4397475633 0.5686239090 0.1819948718 0.0531185261
128.0000000000 0.3128819716 0.4424858480 0.5720897243 0.1832780953 0.0536742189
129.0000000000 0.3162715500 0.4470456241 0.5778196982 0.1854974759 0.0547234018
130.0000000000 0.3209465865 0.4532869593 0.5856273321 0.1886062138 0.0562658410
131.0000000000 0.3267973214 0.4610521309 0.5953069403 0.1925425119 0.0582877025
132.0000000000 0.3336994471 0.4701675571 0.6066356671 0.1972313371 0.0607632271
133.0000000000 0.3415163536 0.4804459491 0.6193755446 0.2025867581 0.0636571626
134.0000000000 0.3501017793 0.4916897076 0.6332776359 0.2085138511 0.0669259228
135.0000000000 0.3593026971 0.5036938312 0.6480849654 0.2149115630 0.0705204289
136.0000000000 0.3689623625 0.5162499368 0.6635375111 0.2216747882 0.0743872139
137.0000000000 0.3789233469 0.5291496039 0.6793758610 0.2286970898 0.0784708328
138.0000000000 0.3890305510 0.5421884628 0.6953463745 0.2358726392 0.0827147274
139.0000000000 0.3991339115 0.5551692623 0.7112046130 0.2430985608 0.0870632101
140.0000000000 0.4090909325 0.5679055735 0.7267202146 0.2502762914 0.0914616503
141.0000000000 0.4187687428 0.5802239831 0.7416792234 0.2573135025 0.0958582622
142.0000000000 0.4280458767 0.5919667747 0.7558876728 0.2641249786 0.1002040806
143.0000000000 0.4368135911 0.6029935971 0.7691736031 0.2706335851 0.1044535791
144.0000000000 0.4449767774 0.6131825617 0.7813883460 0.2767709931 0.1085652088
145.0000000000 0.4524545642 0.6224310898 0.7924076154 0.2824780386 0.1125015130
146.0000000000 0.4591805079 0.6306563076 0.8021321073 0.2877047082 0.1162289085
147.0000000000 0.4651025512 0.6377946905 0.8104868297 0.2924104119 0.1197182727
148.0000000000 0.4701826853 0.6438017104 0.8174207355 0.2965636603 0.1229446352
149.0000000000 0.4743964625 0.6486511875 0.8229059125 0.3001417375 0.1258870125
150.0000000000 0.4777323094 0.6523342149 0.8269361205 0.3031304038 0.1285284983
151.0000000000 0.4801907572 0.6548581072 0.8295254572 0.3055234072 0.1308560572
152.0000000000 0.4817835483 0.6562451013 0.8307066543 0.3073219953 0.1328604424
153.0000000000 0.4825327483 0.6565312372 0.8305297261 0.3085342594 0.1345357705
154.0000000000 0.4824697623 0.6557647927 0.8290598231 0.3091747319 0.1358797014
155.0000000000 0.4816343969 0.6540051669 0.8263759368 0.3092636269 0.1368928569
156.0000000000 0.4800738685 0.6513212973 0.8225687261 0.3088264397 0.1375790109
157.0000000000 0.4778418498 0.6477903594 0.8177388690 0.3078933401 0.1379448305
158.0000000000 0.4749975209 0.6434964812 0.8119954416 0.3064985606 0.1379996003
159.0000000000 0.4716046183 0.6385292085 0.8054537988 0.3046800280 0.1377554377
160.0000000000 0.4677305596 0.6329824041 0.7982342486 0.3024787151 0.1372268707
161.0000000000 0.4634455195 0.6269526680 0.7904598165 0.2999383710 0.1364312225
162.0000000000 0.4588215954 0.6205383027 0.7822550101 0.2971048881 0.1353881808
163.0000000000 0.4539319738 0.6138378897 0.7737438056 0.2940260579 0.1341201420
164.0000000000 0.4488501260 0.6069491265 0.7650481271 0.2907511254 0.1326521248
165.0000000000 0.4436490774 0.5999677756 0.7562864738 0.2873303792 0.1310116810
166.0000000000 0.4384006827 0.5929865608 0.7475724389 0.2838148046 0.1292289265
