# Experimental data for State 12 (3355 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             47.8                     11.0                    
15.0             37.6                     6.49                    
20.0             41.3                     6.29                    
23.0             28.1                     4.29                    
27.0             16.4                     2.66                    
35.0             12.0                     2.15                    
40.0             8.54                     1.28                    
45.0             7.08                     1.34                    
50.0             11.2                     1.83                    
