# Experimental data for State 16 (3666 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             28.7                     12.7                    
15.0             23.2                     8.73                    
20.0             18.1                     3.49                    
23.0             7.78                     1.55                    
27.0             9.79                     2.22                    
35.0             8.01                     2.64                    
40.0             7.97                     3.09                    
45.0             3.0                      1.43                    
50.0             1.77                     0.923                   
