# State 1: 37S level at 0 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    1.4200E+02    2.1900E+01
 15.0    2.3300E+02    3.5000E+01
 20.0    2.8000E+02    4.2100E+01
 23.0    2.6300E+02    3.9500E+01
 27.0    3.1700E+02    4.7500E+01
 35.0    2.2700E+02    3.4100E+01
 40.0    1.4900E+02    2.2500E+01
 45.0    7.9200E+01    1.1900E+01
 50.0    4.5600E+01    6.9300E+00
