# Experimental data for State 33 (~5505 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             255.0                    38.9                    
15.0             303.0                    46.0                    
20.0             224.0                    33.7                    
23.0             192.0                    28.9                    
27.0             121.0                    18.5                    
35.0             65.0                     9.93                    
40.0             52.9                     8.19                    
45.0             27.8                     4.39                    
50.0             25.1                     3.89                    
