# State 5: 37S level at 2023 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    1.8100E+01    5.5300E+00
 15.0    1.0600E+01    2.3900E+00
 20.0    9.5200E+00    1.8200E+00
 23.0    6.5200E+00    1.3000E+00
 27.0    6.6400E+00    1.7800E+00
 35.0    2.6200E+00    1.4700E+00
 40.0    4.9600E+00    1.1900E+00
 45.0    2.0600E+00    1.0700E+00
 50.0    7.7800E-01    5.3700E-01
