# Experimental data for State 23 (~4492 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             89.7                     14.3                    
20.0             18.1                     4.78                    
35.0             7.77                     2.02                    
45.0             7.77                     1.51                    
