# State 7: 37S level at 2637 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    7.9000E+02    1.1900E+02
 15.0    5.5600E+02    8.3600E+01
 20.0    2.6100E+02    3.9200E+01
 23.0    1.4000E+02    2.1100E+01
 27.0    1.0800E+02    1.6400E+01
 35.0    9.4000E+01    1.4300E+01
 40.0    7.3500E+01    1.1100E+01
 45.0    4.3700E+01    6.6700E+00
 50.0    2.7200E+01    4.1800E+00
