# Experimental data for State 19 (~4150 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
15.0             29.6                     5.13                    
20.0             16.4                     2.9                     
23.0             12.8                     2.09                    
27.0             6.64                     1.53                    
35.0             5.42                     1.63                    
40.0             2.56                     0.384                   
45.0             3.95                     0.593                   
50.0             6.63                     1.33                    
