# Experimental data for State 30 (~5054 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             18.5                     4.35                    
15.0             11.2                     3.62                    
23.0             10.1                     1.89                    
27.0             11.6                     1.93                    
35.0             8.48                     2.47                    
40.0             11.1                     1.97                    
45.0             4.22                     1.03                    
50.0             2.65                     0.736                   
