# Experimental data for State 35 (~5720 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             149.0                    25.4                    
15.0             119.0                    18.6                    
20.0             94.2                     14.3                    
23.0             95.0                     14.3                    
27.0             44.6                     6.9                     
35.0             32.7                     5.18                    
40.0             27.0                     4.52                    
45.0             14.8                     2.42                    
50.0             15.6                     2.5                     
