# Experimental data for State 29 (~4893 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             84.9                     32.5                    
15.0             59.3                     9.45                    
20.0             19.7                     3.95                    
23.0             17.8                     3.13                    
27.0             18.2                     3.04                    
35.0             18.8                     8.05                    
40.0             11.4                     45.6                    
45.0             14.3                     8.45                    
50.0             0.354                    0.445                   
