# Experimental data for State 32 (~5122 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             5.98                     2.89                    
15.0             10.4                     3.56                    
20.0             43.5                     22.8                    
23.0             7.68                     1.54                    
27.0             11.3                     2.49                    
35.0             12.2                     2.32                    
40.0             4.84                     1.86                    
45.0             4.09                     0.613                   
50.0             1.59                     1.7                     
