# Experimental data for State 34 (~5666 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             237.0                    37.5                    
15.0             314.0                    47.5                    
20.0             194.0                    29.2                    
23.0             171.0                    25.8                    
27.0             107.0                    16.2                    
35.0             73.0                     11.2                    
40.0             52.7                     8.3                     
45.0             26.8                     4.21                    
50.0             28.9                     4.72                    
