# Experimental data for State 31 (~5090 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             32.3                     6.25                    
15.0             29.6                     5.98                    
23.0             19.5                     3.25                    
27.0             10.9                     1.84                    
35.0             9.66                     2.57                    
40.0             9.11                     1.73                    
45.0             3.54                     8.19                    
50.0             0.884                    0.547                   
