# Reaction: 36S(d,t)35S  ELAB=16.0 MeV
# State 2: 35S level at 1991 keV  Jpi=7/2-  (transfer 0f7/2)
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
  15.0    8.5300E+00    2.0300E+00
  23.0    4.6800E+00    1.9400E+00
  27.0    4.4300E+00    6.6600E-01
  35.0    1.6400E+00    3.1100E-01
  40.0    9.2800E-01    1.8100E-01
