# Reaction: 36S(d,t)35S  ELAB=16.0 MeV
# State 4: 35S level at 2717 keV  Jpi=5/2+  (transfer 0d5/2)
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
  15.0    1.9300E+01    3.8400E+00
  23.0    6.6400E+00    1.4500E+00
  27.0    9.7100E+00    1.5600E+00
  35.0    2.9200E+00    5.0900E-01
  40.0    4.0500E+00    6.3800E-01
