# State 2: 37S level at 644 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    9.6600E+02    1.4500E+02
 15.0    8.9100E+02    1.3400E+02
 20.0    4.7200E+02    7.0900E+01
 23.0    2.1700E+02    3.2600E+01
 27.0    1.2300E+02    1.8700E+01
 35.0    1.2000E+02    1.8100E+01
 40.0    1.2600E+02    1.9000E+01
 45.0    9.7900E+01    1.4700E+01
 50.0    5.3800E+01    8.1500E+00
