# Experimental data for State 11 (3262 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             221.0                    33.7                    
15.0             206.0                    31.2                    
20.0             99.5                     15.0                    
23.0             44.2                     6.7                     
27.0             37.3                     5.72                    
35.0             32.5                     5.08                    
40.0             34.2                     5.4                     
45.0             28.5                     4.35                    
50.0             16.2                     2.51                    
