# Experimental data for State 27 (~4858 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             41.9                     19.0                    
15.0             52.0                     8.44                    
20.0             35.6                     7.34                    
23.0             25.2                     3.89                    
27.0             20.2                     3.2                     
35.0             6.59                     5.51                    
40.0             9.11                     1.69                    
45.0             6.4                      5.53                    
50.0             3.71                     0.711                   
