# State 3: 37S level at 1398 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    9.4000E+01    1.4900E+01
 15.0    9.5200E+01    1.4400E+01
 20.0    5.6100E+01    8.4900E+00
 23.0    2.5400E+01    3.8900E+00
 27.0    1.7700E+01    3.0400E+00
 35.0    1.7000E+01    3.5500E+00
 40.0    1.1800E+01    2.1200E+00
 45.0    7.8900E+00    1.4600E+00
 50.0    3.3300E+00    9.3800E-01
