# State 8: 37S level at 2776 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    1.9100E+01    3.8900E+00
 15.0    1.8100E+01    4.8400E+00
 23.0    8.9100E+00    1.4300E+00
 27.0    8.9600E+00    1.5800E+00
 35.0    8.2400E+00    1.7100E+00
 40.0    5.6900E+00    1.6600E+00
 45.0    2.3200E+00    7.6500E-01
 50.0    2.9200E+00    6.2200E-01
