# Experimental data for State 38 (~6550 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             49.0                     8.77                    
15.0             72.9                     12.3                    
20.0             73.0                     11.3                    
23.0             26.3                     4.2                     
35.0             12.0                     2.44                    
40.0             3.99                     2.63                    
45.0             8.99                     2.02                    
50.0             1.77                     1.01                    
