# Experimental data for State 14 (3493 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             103.0                    16.5                    
15.0             84.1                     13.2                    
20.0             43.7                     6.91                    
23.0             22.4                     3.49                    
27.0             12.6                     2.22                    
35.0             10.1                     1.92                    
40.0             12.8                     2.48                    
45.0             10.2                     1.74                    
50.0             8.84                     1.46                    
