# State 6: 37S level at 2514 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 15.0    6.7300E+00    1.6800E+00
 20.0    1.1000E+01    1.8700E+00
 23.0    1.0300E+01    1.6800E+00
 27.0    7.7500E+00    1.8800E+00
 35.0    5.6600E+00    1.6500E+00
 40.0    4.4000E+00    1.1400E+00
 45.0    4.2900E+00    1.2100E+00
 50.0    3.1800E+00    7.9400E-01
