# Experimental data for State 39 (~6732 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             76.5                     13.5                    
23.0             32.9                     5.11                    
35.0             8.01                     2.04                    
45.0             7.9                      8.49                    
50.0             13.0                     1.95                    
