# State 9: 37S level at 3120 keV
# Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
 10.0    2.9900E+01    8.4600E+00
 15.0    1.5300E+01    4.6100E+00
 20.0    1.6600E+01    2.7200E+00
 23.0    8.2900E+00    1.3500E+00
 27.0    1.3300E+01    2.1600E+00
 35.0    7.7700E+00    1.6600E+00
 40.0    8.8200E+00    1.9400E+00
 45.0    4.9000E+00    1.0000E+00
 50.0    4.0700E+00    7.5400E-01
