# Experimental data for State 37 (~6408 keV)
# angle (deg)    cross_section (mb/sr)    error (mb/sr)
10.0             74.1                     12.1                    
15.0             76.9                     12.5                    
20.0             84.2                     12.9                    
23.0             33.3                     5.14                    
27.0             33.2                     5.11                    
35.0             11.8                     3.33                    
40.0             24.8                     4.22                    
45.0             9.4                      1.78                    
50.0             8.4                      1.37                    
